DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201510,4.03,2.73,3.50,7.46,6.37,4.86
201511,-3.69,-1.41,-0.33,-2.09,-1.51,-0.24
201512,-1.36,1.77,2.55,-4.13,-1.65,-0.02
201601,-7.88,-5.96,-8.26,-8.59,-5.27,-5.91
201602,-0.50,0.04,-1.04,-1.01,-2.55,-1.86
201603,10.85,8.41,8.31,7.06,6.01,6.63
201604,5.04,1.72,1.66,4.90,1.42,0.46
201605,-1.19,-0.43,2.07,-2.67,0.45,1.67
201606,-12.18,-7.11,-4.70,-8.69,-2.99,-1.98
201607,5.51,5.26,6.79,5.45,3.56,3.97
201608,3.07,1.90,2.70,2.43,-0.17,-0.70
201609,0.44,2.09,3.48,-0.86,1.27,2.35
201610,-3.26,-3.31,-3.04,-1.89,-3.48,-3.75
201611,0.21,-1.73,-2.58,-1.41,-3.41,-2.71
201612,5.13,3.77,3.91,5.67,4.99,2.96
201701,3.17,4.59,6.24,1.33,2.70,3.93
201702,0.47,0.84,1.22,2.70,0.85,-1.24
201703,3.27,3.16,2.77,3.95,4.78,4.48
201704,5.99,6.20,6.36,4.62,4.27,4.73
201705,4.19,5.11,6.30,6.23,5.55,3.24
201706,0.53,1.17,0.96,-2.22,-0.63,0.44
201707,3.80,3.83,5.06,2.69,2.90,5.35
201708,-0.80,-0.67,1.11,-0.23,0.37,0.50
201709,2.33,2.17,3.59,2.82,2.89,2.81
201710,-0.88,-0.17,0.23,-0.03,1.11,1.28
201711,-0.92,0.63,0.24,-0.10,0.43,-0.67
201712,3.44,3.00,2.37,2.00,1.59,0.24
201801,4.64,5.96,7.32,3.94,6.03,7.18
201802,-4.56,-4.19,-3.91,-5.50,-5.51,-4.91
201803,-1.73,-0.84,-1.36,0.20,-0.87,-1.02
201804,2.05,1.65,1.92,1.74,2.61,3.28
201805,-2.65,-1.89,-1.34,-3.35,-3.19,-0.66
201806,-1.94,-1.18,-1.13,0.61,-1.39,-1.50
201807,0.76,1.14,1.20,3.92,2.65,2.36
201808,-2.22,-1.60,-0.58,-4.23,-2.39,-1.04
201809,-1.57,-0.63,0.14,-0.00,-0.04,1.44
201810,-9.53,-8.89,-11.33,-8.55,-6.93,-9.69
201811,-2.09,-2.63,-2.69,-0.22,0.42,-3.79
201812,-6.42,-3.62,-4.29,-7.26,-3.65,-2.91
201901,8.03,6.03,6.29,8.22,6.01,5.50
201902,2.34,1.57,1.53,4.23,3.12,2.71
201903,-2.28,-0.34,0.27,-2.51,0.22,3.94
201904,5.92,3.61,3.40,7.76,3.77,1.50
201905,-7.26,-3.51,-0.23,-11.36,-5.30,-1.40
201906,3.92,3.27,3.46,6.78,6.12,6.34
201907,-4.70,-3.24,-1.93,-1.66,-3.04,-1.65
201908,-4.43,-2.33,-1.56,-4.34,-2.38,-0.64
201909,2.79,1.23,1.19,3.99,3.13,1.00
201910,4.28,4.36,4.28,4.36,4.07,1.93
201911,3.48,2.83,5.03,1.76,1.83,1.59
201912,5.81,6.19,8.32,3.54,3.92,4.35
202001,-3.92,-1.69,-0.68,-4.80,-2.00,-0.93
202002,-9.29,-7.96,-9.32,-9.04,-9.50,-7.48
202003,-22.03,-20.52,-18.19,-21.33,-14.22,-10.04
202004,13.42,9.86,11.85,3.72,6.79,7.34
202005,4.27,5.95,6.99,2.49,7.06,5.57
202006,2.75,1.97,4.50,4.34,3.77,4.09
202007,2.18,5.37,10.66,0.43,4.55,5.37
