DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199907,128.32,168.46,195.19,5890.95,8023.12,10581.56
199908,128.40,165.20,203.39,6082.88,7592.93,11157.68
199909,120.36,180.79,225.53,6655.05,8275.67,9068.86
199910,119.32,185.70,236.80,6188.06,8964.16,8535.32
199911,119.52,176.61,217.87,7086.75,9923.31,8354.22
199912,128.95,177.25,217.22,6609.46,10214.13,10167.63
200001,142.24,190.95,237.76,8470.83,9881.48,14179.60
200002,128.40,175.06,245.08,7463.08,8075.58,13171.10
200003,142.51,177.56,235.15,8026.75,9363.43,13193.66
200004,147.47,178.17,221.78,8232.67,9833.88,14298.16
200005,154.71,157.37,208.48,6502.32,11096.46,13372.38
200006,148.46,171.17,215.01,6437.20,11329.11,12323.79
200007,146.79,178.37,210.92,5978.00,12053.78,12332.12
200008,144.72,180.04,215.43,5588.63,12280.41,12591.24
200009,146.73,171.22,222.69,5642.91,12529.19,11564.51
200010,134.14,167.32,226.27,6477.96,11619.43,9778.30
200011,124.03,168.19,216.78,7558.05,12289.14,9201.72
200012,121.13,170.37,215.13,6851.17,13418.69,7561.68
200101,130.00,180.11,219.53,10112.09,11463.21,8692.61
200102,130.76,196.29,238.88,9839.82,9654.01,11207.09
200103,123.58,172.66,236.54,9463.48,9053.43,8958.21
200104,111.33,161.00,206.96,9598.96,8527.91,7284.92
200105,115.31,169.54,212.26,11569.39,8609.50,8414.94
200106,107.79,163.58,207.66,9843.26,9306.96,6769.25
200107,98.88,153.97,210.74,9960.77,9131.04,6582.57
200108,100.24,155.41,194.39,10066.25,9098.11,6903.14
200109,100.21,164.44,185.35,8976.29,9413.68,6554.60
200110,83.99,148.58,165.63,8455.12,9245.31,5583.67
200111,91.30,145.27,156.84,8579.41,10079.46,4994.47
200112,97.47,145.38,161.77,8651.01,9741.10,6146.69
200201,104.73,143.34,161.29,9331.75,10929.51,5602.24
200202,96.01,150.34,158.21,8401.79,9614.49,6909.36
200203,95.89,153.68,157.29,7535.89,9901.65,7817.68
200204,97.25,167.32,173.07,8787.94,11148.00,6773.50
200205,95.48,166.41,179.83,8556.00,11198.22,5785.23
200206,91.15,159.83,192.87,9613.42,9291.81,6854.72
200207,85.22,162.02,177.33,9496.03,10360.78,4774.92
200208,73.75,144.52,161.24,7886.91,8730.39,5079.69
200209,75.70,147.48,145.02,8317.30,8658.29,4663.61
200210,65.24,119.47,141.74,8362.38,6959.83,3549.37
200211,69.21,128.65,145.49,8588.95,8770.60,4050.73
200212,78.65,137.32,149.89,8337.35,9923.52,4291.03
200301,80.43,134.12,144.96,8377.03,9441.28,3583.06
200302,76.73,135.16,136.60,7403.82,9224.87,3611.16
200303,77.78,128.83,124.77,7536.41,8967.01,3398.18
200304,79.80,123.87,121.28,6192.23,9675.24,3656.88
200305,91.36,140.40,134.19,6238.64,10727.06,5066.71
200306,95.23,156.60,143.76,7174.77,10210.62,6623.82
200307,97.39,158.52,145.16,8717.69,8807.85,6497.79
200308,96.74,161.25,154.52,8583.64,8930.39,7148.92
200309,96.12,171.73,146.29,9880.51,7962.16,6095.39
200310,96.84,184.25,146.65,10207.27,7795.23,6267.22
200311,92.55,188.18,157.30,13574.17,7900.22,4483.80
200312,100.44,190.29,172.32,14245.06,8164.53,4766.40
200401,115.75,212.34,176.34,13224.72,10080.48,5922.65
200402,116.67,228.89,186.94,11704.98,10820.43,6847.70
200403,120.04,228.33,190.05,12822.44,10993.53,6405.94
200404,120.24,221.49,181.64,12946.87,9701.24,6563.41
200405,111.48,209.92,180.44,12645.67,10659.74,4664.57
200406,114.98,208.07,183.62,12288.69,11076.05,4711.91
200407,118.67,227.00,187.07,12131.02,11825.54,4964.15
200408,108.17,222.07,187.72,12317.59,10636.28,5084.71
200409,114.25,214.81,195.82,11635.84,11361.99,5543.87
200410,122.99,226.12,209.66,10017.78,12367.64,7065.26
200411,121.59,227.24,218.46,10806.53,11717.99,8363.88
200412,134.18,243.64,230.64,12411.56,11360.36,8823.30
200501,131.63,253.64,246.59,14903.31,11839.99,6048.35
200502,131.80,264.67,253.96,12936.30,12285.55,6167.29
200503,130.96,277.54,273.45,13684.49,13374.54,5517.28
200504,130.59,270.86,249.86,12299.75,13026.96,6043.04
200505,137.00,259.59,230.97,12507.89,12736.32,5157.67
200506,135.47,252.84,227.85,11711.57,13650.84,5145.84
200507,139.36,260.29,234.17,10964.09,13178.98,6042.79
200508,144.56,264.67,240.59,12966.74,12640.22,5791.50
200509,144.95,265.08,249.78,11848.88,14398.48,4984.92
200510,143.33,259.89,255.57,12676.69,13900.53,5454.60
200511,134.92,248.82,250.71,11674.95,13781.73,5780.56
200512,142.66,257.12,237.40,10084.54,14036.36,7513.26
200601,151.56,254.29,245.81,10889.98,14275.17,8260.73
200602,160.06,303.48,265.29,10380.55,15385.45,9981.76
200603,156.03,299.72,280.43,11168.52,15538.57,8062.66
200604,154.98,310.90,297.67,13664.59,14352.00,8122.62
200605,159.93,322.00,316.57,14888.75,14120.99,8588.74
200606,160.87,283.09,291.01,13950.43,15049.23,6778.33
200607,159.45,302.69,273.25,16044.28,13101.50,7805.95
200608,161.30,309.73,275.73,15644.52,14773.11,7451.52
200609,174.65,316.31,281.87,13449.34,16201.92,9272.66
200610,177.97,330.05,277.16,15327.46,14219.09,10224.12
200611,184.80,334.45,301.48,17722.04,14187.06,8849.43
200612,184.60,348.21,328.38,17612.48,15316.36,8812.29
200701,189.44,340.08,347.30,19681.22,14527.76,9300.75
200702,191.50,346.01,356.35,17693.75,16117.40,9275.69
200703,187.55,357.79,340.15,17674.24,15277.50,9963.60
200704,192.19,376.41,339.93,17480.56,16210.19,10354.20
200705,202.87,380.16,380.62,17887.07,16361.08,12388.50
200706,203.67,398.88,390.54,18832.43,17225.23,11177.39
200707,200.71,381.41,383.93,18422.14,16776.01,11304.51
200708,193.64,361.93,362.21,18123.28,15053.13,12497.79
200709,192.36,319.42,350.40,17965.65,14993.04,12668.64
200710,202.25,340.57,355.79,16184.12,17416.97,15729.75
200711,220.72,336.32,344.57,15767.21,18002.63,18470.15
200712,211.09,331.33,333.01,14244.50,18226.32,19251.06
200801,224.71,297.52,311.41,12078.85,17076.91,21730.79
200802,200.47,266.89,285.22,10918.10,13803.82,22495.35
200803,220.00,267.99,266.60,9993.87,15768.28,20858.94
200804,216.89,274.95,266.06,10824.38,16710.94,19486.98
200805,221.23,285.19,274.41,11173.99,18888.18,18521.01
200806,223.09,290.50,270.67,10293.48,18120.31,20503.30
200807,194.57,270.15,265.81,9698.17,17403.49,16704.06
200808,184.29,263.87,252.22,9581.25,17412.64,16867.29
200809,177.17,245.55,246.51,8477.20,17261.58,15297.94
200810,147.14,219.00,213.45,8179.73,15296.53,11863.02
200811,122.05,173.29,143.51,6593.12,11466.08,12474.93
200812,113.35,159.30,134.55,6578.31,8907.46,14272.53
200901,126.90,171.32,140.43,7641.71,10303.37,14302.27
200902,105.74,154.24,149.76,5444.30,8752.64,13758.23
200903,94.38,144.19,125.35,4548.19,8563.76,11508.98
200904,102.81,144.09,132.19,6037.38,8034.97,12653.26
200905,121.83,165.47,144.59,8332.31,10393.32,10332.49
200906,134.77,184.34,173.18,7202.34,13715.96,10127.20
200907,130.90,180.80,179.93,7562.94,13248.68,9199.07
200908,141.26,198.86,201.87,10554.29,13686.97,10293.36
200909,149.81,223.42,211.01,10305.68,14071.47,11485.69
