DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201211,2834,996,879,209,263,191
201212,2667,1082,928,200,260,188
201301,2688,1080,837,196,261,190
201302,2753,980,872,195,263,191
201303,2699,990,909,198,264,194
201304,2693,972,904,192,263,191
201305,2749,937,882,196,258,189
201306,2872,855,802,201,258,190
201307,2640,994,883,203,263,192
201308,2436,1099,1002,196,262,190
201309,2560,1037,896,201,267,194
201310,2415,1066,1028,203,268,194
201311,2404,925,1179,204,267,196
201312,2283,1080,1143,201,273,196
201401,2305,973,1218,203,271,197
201402,2379,977,1095,208,277,203
201403,2127,1023,1304,212,275,203
201404,2042,1134,1264,214,280,206
201405,1911,1118,1405,211,282,205
201406,1942,1026,1464,214,276,205
201407,2155,876,1379,216,280,207
201408,1912,966,1542,215,286,208
201409,1966,1027,1407,212,282,206
201410,2016,985,1402,211,274,201
201411,1968,1067,1384,207,278,200
201412,2064,1182,1167,206,271,199
201501,2144,1157,1094,207,279,201
201502,2464,1013,912,204,276,198
201503,2454,1060,843,205,273,200
201504,2686,911,737,202,274,200
201505,2660,905,764,208,277,202
201506,2539,961,856,208,280,204
201507,2657,879,810,214,285,210
201508,2557,974,845,212,286,210
201509,2423,870,834,217,291,213
201510,2381,1024,928,219,289,214
201511,2164,1090,1088,218,282,210
201512,2139,1103,1082,217,285,209
201601,2290,951,1076,219,294,215
201602,1891,1175,1274,219,285,212
201603,1650,1326,1352,221,292,214
201604,1600,1270,1456,225,294,217
201605,1624,1363,1356,227,296,218
201606,1663,1218,1442,225,298,220
201607,1911,1282,1176,220,290,216
201608,1726,1243,1219,218,295,216
201609,1981,1330,1045,220,298,219
201610,2020,1250,1073,222,303,219
201611,1840,1213,1277,226,304,221
201612,1739,1093,1513,228,307,222
201701,1708,1236,1416,229,302,221
201702,1873,1207,1260,230,303,224
201703,1822,1078,1433,232,308,224
201704,1935,986,1423,227,307,223
201705,2090,971,1289,228,310,227
201706,2037,1017,1310,237,310,228
201707,2132,996,1272,237,321,232
201708,1893,1043,1443,235,315,231
201709,1984,980,1409,235,315,230
201710,2022,996,1326,236,312,230
201711,2101,952,1323,234,313,229
201712,2284,894,1200,233,319,230
201801,2125,1062,1229,236,319,232
201802,2325,927,1158,234,320,231
201803,2214,974,1195,235,322,233
201804,2077,1001,1327,235,317,232
201805,1966,1083,1359,234,316,231
201806,2046,1129,1253,235,317,233
201807,2104,1226,1116,238,318,232
201808,2174,1149,1118,238,316,230
201809,2288,1040,1078,236,319,231
201810,2104,1279,1045,233,312,228
