DateID,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199404,28.74,36.50,35.80,36.38,37.06,156.52,167.78,163.41,166.79,161.23,360.61,346.39,350.29,353.92,356.78,799.53,870.88,799.35,751.83,821.09,5039.95,4624.23,5412.44,3882.56,4299.22
199405,28.71,37.31,38.14,40.46,36.88,168.71,166.16,174.40,168.52,164.85,375.30,375.09,366.90,362.14,374.10,862.29,866.63,817.74,820.61,821.05,5496.81,4685.99,5581.65,4269.25,4797.05
199406,27.15,37.32,35.63,36.22,36.47,164.25,158.70,155.70,157.70,158.10,355.77,352.24,352.45,363.43,341.79,829.48,810.09,789.35,771.89,771.08,4566.09,5351.80,5196.55,3816.13,4102.85
199407,26.67,35.21,35.21,36.08,35.20,160.99,154.35,153.47,153.47,155.46,340.86,350.07,342.01,334.32,350.65,783.97,832.66,776.94,769.77,741.83,4647.48,6109.22,4500.87,4242.53,3308.72
199408,27.38,34.25,38.08,37.50,36.04,166.44,171.99,163.86,162.87,161.17,361.08,363.39,374.29,358.42,355.48,863.61,818.74,865.81,791.96,830.87,5150.92,6123.79,4684.59,4753.33,3612.81
199409,30.57,33.68,37.13,40.51,36.36,172.92,189.21,170.35,163.20,161.09,356.77,367.36,352.36,370.45,368.95,869.95,844.02,854.18,802.98,845.39,5088.12,5575.09,6677.70,4468.12,3854.94
199410,30.19,33.09,37.27,36.53,35.84,162.21,177.79,163.29,154.29,154.03,353.38,351.59,344.20,348.49,346.29,854.49,738.74,820.86,820.62,812.71,5001.23,5123.16,5803.59,4675.72,3434.87
199411,29.74,34.96,35.47,38.18,36.34,168.81,171.11,175.50,166.26,161.21,358.25,373.70,382.59,356.67,366.13,918.55,865.04,827.79,883.39,787.54,5770.46,6025.39,5495.34,4703.98,3947.23
199412,27.77,35.66,35.73,36.89,34.70,162.19,157.73,169.71,150.69,157.47,353.80,352.43,345.97,343.01,343.08,837.24,859.84,889.46,825.13,776.00,5346.03,6090.37,4539.67,4918.61,4213.34
199501,29.01,36.10,34.57,36.06,34.91,160.20,159.80,164.95,161.16,156.09,354.79,354.71,348.23,351.92,348.33,861.22,797.87,843.50,867.11,798.83,4974.97,5704.29,5689.76,4435.70,4367.29
199502,29.21,35.54,35.83,34.72,35.36,156.19,162.35,155.12,155.58,157.98,343.26,352.31,324.29,337.79,346.24,836.22,807.66,893.74,814.59,765.22,4283.00,4587.35,5724.21,5663.47,4738.06
199503,29.74,35.27,36.09,36.79,36.40,159.96,159.54,162.04,158.10,166.50,362.16,354.10,360.64,330.52,348.20,858.21,849.46,916.94,774.26,799.96,3868.30,4226.29,6123.08,6879.52,4686.99
199504,31.41,36.28,36.09,38.70,38.59,161.17,167.33,167.63,163.47,173.24,366.59,355.94,367.90,355.08,360.89,881.33,903.35,886.10,922.09,844.05,3807.87,4891.14,5259.10,7844.94,5461.07
199505,32.58,37.87,38.21,38.47,39.09,171.57,175.60,173.50,165.84,178.37,391.34,362.67,392.24,380.56,380.83,916.01,946.53,949.32,961.61,939.45,4260.65,4936.55,5315.55,7577.42,6322.45
