TIME_PERIOD,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2004-09-06,5.442097907025856,-3.543428050362291,1.3385032917090396,-0.2832159151748814,4.967567681843944,1.8773154082917878
2004-09-07,5.440139269296168,-3.544804078679627,1.243712650394004,-0.043414039087957865,5.0402467158353454,1.9412338035311407
2004-09-08,5.427175719324229,-3.5321654815956687,1.2690518543716933,0.04385993434387568,5.0236213825426095,1.9317346833797802
2004-09-09,5.3951183474233275,-3.4888232264847665,1.3197672119569015,-0.15394878734826914,5.174891374496441,1.9039003133044237
2004-09-10,5.3641450004441165,-3.4473133306036052,1.396242796438497,-0.396638476325179,5.213259271792688,1.8645720338370226
2004-09-13,5.3975328721492675,-3.4910685157621613,1.2946299599561504,-0.1150626241391917,5.306421442832285,1.9664821232778056
2004-09-14,5.374247787851796,-3.460615754998415,1.3798874673717023,-0.2415866443629319,5.292746770955449,1.978180434702758
2004-09-15,5.365355837238392,-3.4475234256007643,1.3858389708074144,-0.24296597045623802,5.2976826625048,1.9906012359989578
2004-09-16,5.35689720031269,-3.4352494468824273,1.3717625480184386,-0.18862008961765236,5.311620053815359,2.015060449733325
2004-09-17,5.4217338916781825,-3.4896686998237945,1.3126000604120163,-0.3497670493204306,5.392821866007286,2.025791680219103
2004-09-20,5.322631344375982,-3.3948857846812337,1.3829630374610482,-0.33297491198036233,5.354783350871129,2.0375234136143088
2004-09-21,5.327102773615398,-3.3955371294489542,1.3813187734951016,-0.3071573800407787,5.361481629139514,2.0581151857199513
2004-09-22,5.293724647961,-3.357948844749813,1.368983209946735,-0.29631361082732854,5.380214930814039,2.0711227415569575
2004-09-23,5.228672653251766,-3.278581049478834,1.46878015860168,-0.5977153622760607,5.45024616304567,1.9914131149396381
2004-09-24,5.270998861822799,-3.322327958055429,1.4364440619594638,-0.3854614410596709,5.501985112500935,2.142472945175252
2004-09-27,5.227840311888952,-3.275224815131867,1.5169508734522674,-0.509450680070788,5.499496640237719,2.177131755298507
2004-09-28,5.236707907276449,-3.2827051697129304,1.5199411258098054,-0.5394026068556992,5.509676492190409,2.1834167429789537
2004-09-29,5.28428077618586,-3.334521802783659,1.5113497041221837,-0.40439858672238166,5.547611644688674,2.289921605198873
2004-09-30,5.348871180131857,-3.414365811632241,1.4489000609172882,-0.3239282466743239,5.6187364828887105,2.3832033393465326
2004-10-01,5.315101806364446,-3.360920984891903,1.6934078370030778,-0.6246234356927703,5.512891435655054,2.2491100016919643
2004-10-04,5.290918185386523,-3.3494612397785297,1.742807531435235,-0.4958642057302746,5.4720019507820705,2.2680032703789372
2004-10-05,5.283848530477248,-3.3381466443885555,1.6551539595221239,-0.5248127366071467,5.533721897965372,2.3039845381335473
2004-10-06,5.242461008638673,-3.2869809650209088,1.7290253182492674,-0.6030499166281724,5.49346176128404,2.2572617518657023
2004-10-07,5.26277672377847,-3.3077942041914237,1.7468214751091486,-0.6311417295082201,5.494310971525642,2.2493434608080727
2004-10-08,5.216891148208204,-3.260051558072181,1.8029695052687285,-0.8615869203744374,5.5311489118793675,2.0977863464369064
2004-10-11,5.2456201076058715,-3.2808166291483345,1.803297484392376,-0.8953396943455142,5.542041039245638,2.0876313354341036
2004-10-12,5.217779283510343,-3.2529659527618224,1.7706757350229567,-0.9800761217290819,5.570603531293243,2.06254248013656
2004-10-13,5.209127509031604,-3.2424561075108262,1.7806870197183626,-0.9227964015538048,5.552115020665392,2.0780087401525766
2004-10-14,5.201971986087752,-3.2301814022384985,1.7671360475727225,-1.005204346742256,5.56758645790238,2.0230603454762583
2004-10-15,5.178332632569628,-3.1928058186885555,1.7917215166315494,-1.1418082388753967,5.551003865038173,1.8690932767079003
2004-10-18,5.22779068338958,-3.2417661266341637,1.7447271207292119,-1.1370428303358033,5.586689884942741,1.900441593139362
2004-10-19,5.234837526099481,-3.245535020205614,1.7618290385694662,-1.1053849641891158,5.567529034452227,1.8645643254152198
2004-10-20,5.217029871086738,-3.209522225998877,1.6997244541502177,-1.2268660595755958,5.610898417934368,1.7921292582851596
2004-10-21,5.207614177043872,-3.2021861590619802,1.6876187270203689,-1.1800402186184271,5.609003690354185,1.816809973900533
2004-10-22,5.216600641955349,-3.2132743605872682,1.6581292004827863,-1.1225346683075559,5.618263062206464,1.8559778608981703
2004-10-25,5.215264821632223,-3.197924351321921,1.6004921767223326,-1.2480520835432252,5.669163818619956,1.8219369555748945
2004-10-26,5.226680157537593,-3.201920283147751,1.5789648637958322,-1.2698764969695318,5.686177334083839,1.8239843203693449
2004-10-27,5.202818065951091,-3.174015250110822,1.5867446593787302,-1.2557078383621023,5.671472236893603,1.8127133934688706
2004-10-28,5.209728204827473,-3.1916813903697068,1.699014626732205,-1.0354979230312433,5.626652451595025,1.8115364499681919
2004-10-29,5.2956298116510485,-3.2963308052556815,1.530912965763253,-0.9929599594077012,5.788138915506584,2.1096159449589797
2004-11-01,5.196891709971924,-3.1783350257732086,1.6389559633935369,-1.1172821359838419,5.675957943185301,1.8274211484656409
2004-11-02,5.116277298372218,-3.1114525828346817,2.3097858837896226,-1.437038520099956,5.600454957310742,2.3926780312624345
2004-11-03,5.124910123267382,-3.1623659669868114,2.320760131377684,-1.35814445011854,5.5938354324057045,2.485858372233355
2004-11-04,5.125196204682686,-3.1626326480038456,2.3260464625951323,-1.367414009765618,5.594189816112942,2.4739387818683407
2004-11-05,5.118440404749534,-3.1662352281009647,2.338663836582631,-1.3524458452858839,5.5831883727253775,2.472168034808613
2004-11-08,5.1083156620912105,-3.1665359923189134,2.3521574979531095,-1.3355010608400857,5.570846555749298,2.4717034648383875
2004-11-09,5.027276327796824,-2.986172767500889,2.3087036924950493,-1.4518052231193088,5.628774740606692,2.4034283102178033
2004-11-10,4.993963603902477,-2.9438379508333705,2.3226250698886113,-1.5262106990249087,5.62531218658591,2.314247748247953
2004-11-11,4.974877642446169,-2.9191814157201246,2.32257928401473,-1.6416859782142723,5.635269136384348,2.193715090421514
2004-11-12,4.946144777854614,-2.896480950961119,2.2977403050932192,-1.623703070530551,5.642052005681622,2.234234023495673
2004-11-15,4.9321249175022785,-2.8717210724732727,2.2471584475761346,-1.661516240561987,5.682155133623517,2.2632880706732315
2004-11-16,4.916877515034515,-2.861316650353886,2.1971422254248947,-1.556975316161362,5.6877556937703515,2.4515962608237345
2004-11-17,4.933438073272861,-2.882758594810875,2.2233652759836793,-1.5500901427707294,5.678425280429712,2.4319038784668625
2004-11-18,4.966129752286597,-2.914709610679339,2.226188709102604,-1.4673344045104062,5.667576116015381,2.539522814719753
2004-11-19,4.946732878006022,-2.897939221105088,2.2242206063848746,-1.5027097750543206,5.671023535179288,2.5035109995144333
2004-11-22,4.926589715251429,-2.876123449343688,2.2101271609967097,-1.56169209648922,5.688436208361012,2.466058323016732
2004-11-23,4.909293318131555,-2.8510777055229712,2.2115467502532278,-1.591894784467561,5.686847123865827,2.4327056565822
2004-11-24,4.893135038415951,-2.818878641885638,2.220002973743736,-1.7035235912510311,5.686491182808434,2.267455999670396
2004-11-25,4.86917201172113,-2.8050871358321485,2.2126983456269875,-1.7286906589579998,5.671543281733939,2.1853260032352706
2004-11-26,4.838479922544078,-2.7800199896221143,2.21938588755525,-1.7058823961017875,5.642657784020175,2.143491206563225
