TIME_PERIOD,Portfolio,Portfolio strategy,Weight
2007-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.2587726164641791
2007-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.25486246580687105
2007-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.2556005145465228
2007-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.2398260071648314
2008-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.2385834264524595
2008-02-29,"{""Small Cap"",""EU""}",Risk Parity,0.24620744092382296
2008-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.24759555128676589
2008-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.247699467801171
2008-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.2497578699763627
2008-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.24385364201821932
2008-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.24383116686972878
2008-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.24330315470980018
2008-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.24846068909101388
2008-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.23795718135936073
2008-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.2206248108675155
2008-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.22239337317330865
2009-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.22355176873817006
2009-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.2233702081619809
2009-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.2302110005022408
2009-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.23134448548891723
2009-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.22153548442652315
2009-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2174448467631123
2009-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.217471448835376
2009-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.22220011343782878
2009-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.21962537571026353
2009-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.21844856958245695
2009-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.21859014507266572
2009-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.21931287434578417
2010-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.22160915412228074
2010-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.22248370621940697
2010-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.22316496257199792
2010-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.22817923985118455
2010-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.22843267127175734
2010-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.22760739250529477
2010-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.22822145144349826
2010-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.22840455508563834
2010-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.2291707934466593
2010-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.22900045709182365
2010-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.22810518956135886
2010-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.23166287837916175
2011-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.23136988977903516
