TIME_PERIOD,Portfolio,Historical return,Historical variance,Type
2009-06-30,"{""Market_Return"",""EU""}",-0.7642567607483034,31.776188141361,p
2009-06-30,"{""Market_Return"",""US""}",-0.847484003469536,23.63969769878086,p
2009-06-30,"{""Small Cap"",""EU""}",-0.8526515462572294,46.44930343173753,p
2009-06-30,"{""Small Cap"",""US""}",-0.8845380184250445,49.4216560346181,p
2009-06-30,"{""Tech Stocks"",""EU""}",-0.5758573125802057,23.04199333186684,p
2009-06-30,"{""Tech Stocks"",""US""}",-0.9129149738352196,21.139089077683316,p
2009-06-30,Bounded efficient frontier,-0.779911815518831,19.905380566688585,l
2009-06-30,Bounded efficient frontier,-0.769911815518831,19.911797424693688,l
2009-06-30,Bounded efficient frontier,-0.759911815518831,19.93104800793592,l
2009-06-30,Bounded efficient frontier,-0.749911815518831,19.963132318297138,l
2009-06-30,Bounded efficient frontier,-0.739911815518831,20.00805035418877,l
2009-06-30,Bounded efficient frontier,-0.729911815518831,20.065802115586237,l
2009-06-30,Bounded efficient frontier,-0.719911815518831,20.136387604921033,l
2009-06-30,Bounded efficient frontier,-0.709911815518831,20.21980682314163,l
2009-06-30,Bounded efficient frontier,-0.699911815518831,20.316059763429116,l
2009-06-30,Bounded efficient frontier,-0.689911815518831,20.425146432914705,l
2009-06-30,Bounded efficient frontier,-0.679911815518831,20.547066824312637,l
2009-06-30,Bounded efficient frontier,-0.6699118155188309,20.681820946455495,l
2009-06-30,Bounded efficient frontier,-0.6599118155188309,20.829408793016626,l
2009-06-30,Bounded efficient frontier,-0.6499118155188309,20.989830366851397,l
2009-06-30,Bounded efficient frontier,-0.6399118155188309,21.170057496711156,l
2009-06-30,Bounded efficient frontier,-0.6299118155188309,21.38046491403098,l
2009-06-30,Bounded efficient frontier,-0.6199118155188309,21.62115057315254,l
2009-06-30,Bounded efficient frontier,-0.6099118155188309,21.89211440804111,l
2009-06-30,Bounded efficient frontier,-0.5999118155188309,22.193356435347862,l
2009-06-30,Bounded efficient frontier,-0.5899118155188309,22.524876692100698,l
2009-06-30,Bounded efficient frontier,-0.5799118155188309,22.88667516380796,l
2009-06-30,Risk Parity,-0.8009478098727407,24.914198453243017,p
2009-06-30,Global Minimum Variance portfolio,-0.779911815518831,19.905380566688592,p
2009-06-30,MV-portfolio,-0.8526515462572294,46.44930343173753,p
2014-06-30,"{""Market_Return"",""EU""}",0.9517052192431417,13.838858807342696,p
2014-06-30,"{""Market_Return"",""US""}",1.4915161103861265,7.964659038108911,p
2014-06-30,"{""Small Cap"",""EU""}",1.0154185941494474,13.621967628560839,p
2014-06-30,"{""Small Cap"",""US""}",1.5352274058455588,16.505036172575164,p
2014-06-30,"{""Tech Stocks"",""EU""}",1.247437888880932,17.09106524573603,p
2014-06-30,"{""Tech Stocks"",""US""}",1.3879318495274642,11.474987653124431,p
2014-06-30,Bounded efficient frontier,1.3795065624549714,7.373249372910847,l
2014-06-30,Bounded efficient frontier,1.3895065624549714,7.377963248154417,l
2014-06-30,Bounded efficient frontier,1.3995065624549714,7.392104878800935,l
2014-06-30,Bounded efficient frontier,1.4095065624549714,7.415674264850589,l
2014-06-30,Bounded efficient frontier,1.4195065624549714,7.448671406303266,l
2014-06-30,Bounded efficient frontier,1.4295065624549714,7.4910963031571285,l
2014-06-30,Bounded efficient frontier,1.4395065624549714,7.542948955415141,l
2014-06-30,Bounded efficient frontier,1.4495065624549714,7.604229363075734,l
2014-06-30,Bounded efficient frontier,1.4595065624549715,7.6749375261390265,l
2014-06-30,Bounded efficient frontier,1.4695065624549715,7.755073444604601,l
2014-06-30,Bounded efficient frontier,1.4795065624549715,7.844637118474013,l
2014-06-30,Bounded efficient frontier,1.4895065624549715,7.943628547745334,l
2014-06-30,Bounded efficient frontier,1.4995065624549715,8.955768928058218,l
2014-06-30,Bounded efficient frontier,1.5095065624549715,10.555456750405533,l
2014-06-30,Bounded efficient frontier,1.5195065624549715,12.554602175302644,l
2014-06-30,Bounded efficient frontier,1.5295065624549715,14.95320465729023,l
2014-06-30,Risk Parity,1.2810850551259667,9.99209263950383,p
2014-06-30,Global Minimum Variance portfolio,1.3795065624549714,7.373249372910518,p
2014-06-30,MV-portfolio,1.4915161103861267,7.964659038108914,p
2019-06-30,"{""Market_Return"",""EU""}",0.7884778454200486,8.691968731387393,p
2019-06-30,"{""Market_Return"",""US""}",1.1578889605581886,13.898531220938347,p
2019-06-30,"{""Small Cap"",""EU""}",0.804181997982174,9.367659591932807,p
2019-06-30,"{""Small Cap"",""US""}",1.0738428582213764,29.714873137111187,p
2019-06-30,"{""Tech Stocks"",""EU""}",0.8718287002484667,8.881607979981048,p
2019-06-30,"{""Tech Stocks"",""US""}",1.138573737120706,14.174817170903438,p
2019-06-30,Bounded efficient frontier,0.8814900978748542,8.011640541935984,l
2019-06-30,Bounded efficient frontier,0.8914900978748542,8.015671574710492,l
2019-06-30,Bounded efficient frontier,0.9014900978748542,8.027803149357965,l
2019-06-30,Bounded efficient frontier,0.9114900978748542,8.048084881954736,l
2019-06-30,Bounded efficient frontier,0.9214900978748543,8.07714327882222,l
2019-06-30,Bounded efficient frontier,0.9314900978748543,8.115167585479895,l
2019-06-30,Bounded efficient frontier,0.9414900978748543,8.162172143452366,l
2019-06-30,Bounded efficient frontier,0.9514900978748543,8.220232325642648,l
2019-06-30,Bounded efficient frontier,0.9614900978748543,8.290828557943923,l
2019-06-30,Bounded efficient frontier,0.9714900978748543,8.373960918196516,l
2019-06-30,Bounded efficient frontier,0.9814900978748543,8.469629345106052,l
2019-06-30,Bounded efficient frontier,0.9914900978748543,8.578722549277119,l
2019-06-30,Bounded efficient frontier,1.0014900978748544,8.70979380454532,l
2019-06-30,Bounded efficient frontier,1.0114900978748542,8.864986863783509,l
2019-06-30,Bounded efficient frontier,1.0214900978748545,9.04430035192548,l
2019-06-30,Bounded efficient frontier,1.0314900978748542,9.247006399128907,l
2019-06-30,Bounded efficient frontier,1.0414900978748545,9.472495569949473,l
2019-06-30,Bounded efficient frontier,1.0514900978748543,9.720767851559597,l
2019-06-30,Bounded efficient frontier,1.0614900978748545,9.991823257153236,l
2019-06-30,Bounded efficient frontier,1.0714900978748543,10.285661782531948,l
2019-06-30,Bounded efficient frontier,1.0814900978748545,10.602283406331809,l
2019-06-30,Bounded efficient frontier,1.0914900978748543,10.941688190360786,l
2019-06-30,Bounded efficient frontier,1.1014900978748545,11.303876021798574,l
2019-06-30,Bounded efficient frontier,1.1114900978748543,11.688847004200651,l
2019-06-30,Bounded efficient frontier,1.1214900978748545,12.096601103474667,l
2019-06-30,Bounded efficient frontier,1.1314900978748543,12.527138199989842,l
2019-06-30,Bounded efficient frontier,1.1414900978748546,12.9804588093461,l
2019-06-30,Bounded efficient frontier,1.1514900978748543,13.45656225421546,l
2019-06-30,Risk Parity,0.9499472292411512,9.310307495481462,p
2019-06-30,MV-portfolio,1.0118617245376271,8.871219162355025,p
2019-06-30,Global Minimum Variance portfolio,0.8814900978748542,8.011640543536016,p
2024-06-30,"{""Market_Return"",""EU""}",0.5435153989161594,16.23709720781477,p
2024-06-30,"{""Market_Return"",""US""}",1.0521654765928605,19.01045269422979,p
2024-06-30,"{""Small Cap"",""EU""}",-0.023104678960054872,20.896107679549864,p
2024-06-30,"{""Small Cap"",""US""}",0.11759961572306911,32.91126849981262,p
2024-06-30,"{""Tech Stocks"",""EU""}",0.45069495587016245,15.568176739643436,p
2024-06-30,"{""Tech Stocks"",""US""}",1.1467013022334918,21.32148222416759,p
2024-06-30,Bounded efficient frontier,0.6896537217295865,14.181996546148419,l
2024-06-30,Bounded efficient frontier,0.6996537217295865,14.184223993607235,l
2024-06-30,Bounded efficient frontier,0.7096537217295865,14.19090633603679,l
2024-06-30,Bounded efficient frontier,0.7196537217295865,14.202043574590991,l
2024-06-30,Bounded efficient frontier,0.7296537217295865,14.21763570485134,l
2024-06-30,Bounded efficient frontier,0.7396537217295865,14.237682733811756,l
2024-06-30,Bounded efficient frontier,0.7496537217295866,14.262184653394133,l
2024-06-30,Bounded efficient frontier,0.7596537217295866,14.291141469384486,l
2024-06-30,Bounded efficient frontier,0.7696537217295866,14.324553183270105,l
2024-06-30,Bounded efficient frontier,0.7796537217295866,14.36241978896718,l
2024-06-30,Bounded efficient frontier,0.7896537217295866,14.404741285598199,l
2024-06-30,Bounded efficient frontier,0.7996537217295866,14.451517682977698,l
