TIME_PERIOD,Portfolio,Weight,Portfolio strategy,Historical return,Historical variance
2007-07-31,"{""Tech Stocks"",""US""}",0.0,Global Minimum Variance portfolio,1.6251819899015714,6.0182514381685905
2007-07-31,"{""Market_Return"",""US""}",0.08158377617130291,Global Minimum Variance portfolio,1.6251819899015714,6.0182514381685905
2007-07-31,"{""Small Cap"",""US""}",0.0,Global Minimum Variance portfolio,1.6251819899015714,6.0182514381685905
2007-07-31,"{""Tech Stocks"",""EU""}",8.011080587851239e-16,Global Minimum Variance portfolio,1.6251819899015714,6.0182514381685905
2007-07-31,"{""Market_Return"",""EU""}",0.9184162238286971,Global Minimum Variance portfolio,1.6251819899015714,6.0182514381685905
2007-07-31,"{""Small Cap"",""EU""}",0.0,Global Minimum Variance portfolio,1.6251819899015714,6.0182514381685905
2007-07-31,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,2.165704199969914,7.821468041223454
2007-07-31,"{""Market_Return"",""US""}",0.0,Maximal historical return,2.165704199969914,7.821468041223454
2007-07-31,"{""Small Cap"",""US""}",0.0,Maximal historical return,2.165704199969914,7.821468041223454
2007-07-31,"{""Tech Stocks"",""EU""}",0.0,Maximal historical return,2.165704199969914,7.821468041223454
2007-07-31,"{""Market_Return"",""EU""}",0.0,Maximal historical return,2.165704199969914,7.821468041223454
2007-07-31,"{""Small Cap"",""EU""}",1.0,Maximal historical return,2.165704199969914,7.821468041223454
2007-07-31,"{""Tech Stocks"",""US""}",2.7929047963226594e-16,Sharpe-portfolio,2.1634270962234265,7.799145976671897
2007-07-31,"{""Market_Return"",""US""}",1.0408340855860843e-16,Sharpe-portfolio,2.1634270962234265,7.799145976671897
2007-07-31,"{""Small Cap"",""US""}",0.0,Sharpe-portfolio,2.1634270962234265,7.799145976671897
2007-07-31,"{""Tech Stocks"",""EU""}",0.058947760822206124,Sharpe-portfolio,2.1634270962234265,7.799145976671897
2007-07-31,"{""Market_Return"",""EU""}",0.0,Sharpe-portfolio,2.1634270962234265,7.799145976671897
2007-07-31,"{""Small Cap"",""EU""}",0.9410522391777937,Sharpe-portfolio,2.1634270962234265,7.799145976671897
2007-07-31,"{""Tech Stocks"",""US""}",0.146425366332707,Risk Parity,1.4627438028704483,7.8556110686268825
2007-07-31,"{""Market_Return"",""US""}",0.1721237825216203,Risk Parity,1.4627438028704483,7.8556110686268825
2007-07-31,"{""Small Cap"",""US""}",0.12284137079844588,Risk Parity,1.4627438028704483,7.8556110686268825
2007-07-31,"{""Tech Stocks"",""EU""}",0.169330581957782,Risk Parity,1.4627438028704483,7.8556110686268825
2007-07-31,"{""Market_Return"",""EU""}",0.2072004002077963,Risk Parity,1.4627438028704483,7.8556110686268825
2007-07-31,"{""Small Cap"",""EU""}",0.18207849818164856,Risk Parity,1.4627438028704483,7.8556110686268825
2007-08-31,"{""Tech Stocks"",""US""}",2.6926310842226028e-15,Global Minimum Variance portfolio,1.5132411654904523,6.152616844699372
2007-08-31,"{""Market_Return"",""US""}",0.16443012543654978,Global Minimum Variance portfolio,1.5132411654904523,6.152616844699372
2007-08-31,"{""Small Cap"",""US""}",0.0,Global Minimum Variance portfolio,1.5132411654904523,6.152616844699372
2007-08-31,"{""Tech Stocks"",""EU""}",1.3551837875013783e-16,Global Minimum Variance portfolio,1.5132411654904523,6.152616844699372
2007-08-31,"{""Market_Return"",""EU""}",0.8355698745634498,Global Minimum Variance portfolio,1.5132411654904523,6.152616844699372
2007-08-31,"{""Small Cap"",""EU""}",0.0,Global Minimum Variance portfolio,1.5132411654904523,6.152616844699372
2007-08-31,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,2.0663662237237617,8.747933113562976
2007-08-31,"{""Market_Return"",""US""}",0.0,Maximal historical return,2.0663662237237617,8.747933113562976
2007-08-31,"{""Small Cap"",""US""}",0.0,Maximal historical return,2.0663662237237617,8.747933113562976
2007-08-31,"{""Tech Stocks"",""EU""}",0.0,Maximal historical return,2.0663662237237617,8.747933113562976
2007-08-31,"{""Market_Return"",""EU""}",0.0,Maximal historical return,2.0663662237237617,8.747933113562976
2007-08-31,"{""Small Cap"",""EU""}",1.0,Maximal historical return,2.0663662237237617,8.747933113562976
2007-08-31,"{""Tech Stocks"",""US""}",0.0,Sharpe-portfolio,2.0265024669138745,8.255060795327902
2007-08-31,"{""Market_Return"",""US""}",1.6046192152785466e-16,Sharpe-portfolio,2.0265024669138745,8.255060795327902
2007-08-31,"{""Small Cap"",""US""}",1.0018028073766061e-16,Sharpe-portfolio,2.0265024669138745,8.255060795327902
2007-08-31,"{""Tech Stocks"",""EU""}",0.23621976094143898,Sharpe-portfolio,2.0265024669138745,8.255060795327902
2007-08-31,"{""Market_Return"",""EU""}",0.09469541122342894,Sharpe-portfolio,2.0265024669138745,8.255060795327902
2007-08-31,"{""Small Cap"",""EU""}",0.669084827835132,Sharpe-portfolio,2.0265024669138745,8.255060795327902
2007-08-31,"{""Tech Stocks"",""US""}",0.1493930967563065,Risk Parity,1.448074336391282,7.904618627695406
2007-08-31,"{""Market_Return"",""US""}",0.17497145836260192,Risk Parity,1.448074336391282,7.904618627695406
2007-08-31,"{""Small Cap"",""US""}",0.12540320556770623,Risk Parity,1.448074336391282,7.904618627695406
2007-08-31,"{""Tech Stocks"",""EU""}",0.16859499914705825,Risk Parity,1.448074336391282,7.904618627695406
2007-08-31,"{""Market_Return"",""EU""}",0.20680128831850736,Risk Parity,1.448074336391282,7.904618627695406
2007-08-31,"{""Small Cap"",""EU""}",0.17483595184781972,Risk Parity,1.448074336391282,7.904618627695406
2007-09-30,"{""Tech Stocks"",""US""}",3.1145758357703483e-16,Global Minimum Variance portfolio,1.5159733905850432,6.149898105688095
2007-09-30,"{""Market_Return"",""US""}",0.16750307297374406,Global Minimum Variance portfolio,1.5159733905850432,6.149898105688095
2007-09-30,"{""Small Cap"",""US""}",0.0,Global Minimum Variance portfolio,1.5159733905850432,6.149898105688095
2007-09-30,"{""Tech Stocks"",""EU""}",4.632496071851219e-16,Global Minimum Variance portfolio,1.5159733905850432,6.149898105688095
2007-09-30,"{""Market_Return"",""EU""}",0.8324969270262549,Global Minimum Variance portfolio,1.5159733905850432,6.149898105688095
2007-09-30,"{""Small Cap"",""EU""}",5.094779688089678e-16,Global Minimum Variance portfolio,1.5159733905850432,6.149898105688095
2007-09-30,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,2.1016943581512404,9.540523881130293
2007-09-30,"{""Market_Return"",""US""}",0.0,Maximal historical return,2.1016943581512404,9.540523881130293
2007-09-30,"{""Small Cap"",""US""}",0.0,Maximal historical return,2.1016943581512404,9.540523881130293
2007-09-30,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,2.1016943581512404,9.540523881130293
2007-09-30,"{""Market_Return"",""EU""}",0.0,Maximal historical return,2.1016943581512404,9.540523881130293
2007-09-30,"{""Small Cap"",""EU""}",0.0,Maximal historical return,2.1016943581512404,9.540523881130293
2007-09-30,"{""Tech Stocks"",""US""}",1.4159680372660688e-16,Sharpe-portfolio,2.0156727551664835,8.435971343573954
2007-09-30,"{""Market_Return"",""US""}",2.2985086056692694e-17,Sharpe-portfolio,2.0156727551664835,8.435971343573954
2007-09-30,"{""Small Cap"",""US""}",3.491130995403324e-17,Sharpe-portfolio,2.0156727551664835,8.435971343573954
2007-09-30,"{""Tech Stocks"",""EU""}",0.5788008547252761,Sharpe-portfolio,2.0156727551664835,8.435971343573954
2007-09-30,"{""Market_Return"",""EU""}",0.09546379973956902,Sharpe-portfolio,2.0156727551664835,8.435971343573954
2007-09-30,"{""Small Cap"",""EU""}",0.3257353455351546,Sharpe-portfolio,2.0156727551664835,8.435971343573954
2007-09-30,"{""Tech Stocks"",""US""}",0.1506931076447724,Risk Parity,1.419798022230386,7.913559332518999
2007-09-30,"{""Market_Return"",""US""}",0.17637503080234399,Risk Parity,1.419798022230386,7.913559332518999
2007-09-30,"{""Small Cap"",""US""}",0.1253737565224625,Risk Parity,1.419798022230386,7.913559332518999
2007-09-30,"{""Tech Stocks"",""EU""}",0.1682354152861069,Risk Parity,1.419798022230386,7.913559332518999
2007-09-30,"{""Market_Return"",""EU""}",0.2078176161889383,Risk Parity,1.419798022230386,7.913559332518999
2007-09-30,"{""Small Cap"",""EU""}",0.17150507355537586,Risk Parity,1.419798022230386,7.913559332518999
2007-10-31,"{""Tech Stocks"",""US""}",1.1654012126187612e-15,Global Minimum Variance portfolio,1.5363995580222003,6.159315102760735
2007-10-31,"{""Market_Return"",""US""}",0.18389141628270206,Global Minimum Variance portfolio,1.5363995580222003,6.159315102760735
2007-10-31,"{""Small Cap"",""US""}",3.0593104346752527e-15,Global Minimum Variance portfolio,1.5363995580222003,6.159315102760735
2007-10-31,"{""Tech Stocks"",""EU""}",6.108637019343619e-15,Global Minimum Variance portfolio,1.5363995580222003,6.159315102760735
2007-10-31,"{""Market_Return"",""EU""}",0.8161085837172869,Global Minimum Variance portfolio,1.5363995580222003,6.159315102760735
2007-10-31,"{""Small Cap"",""EU""}",7.638135707148737e-16,Global Minimum Variance portfolio,1.5363995580222003,6.159315102760735
2007-10-31,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,2.218377706021199,9.74524873794115
2007-10-31,"{""Market_Return"",""US""}",0.0,Maximal historical return,2.218377706021199,9.74524873794115
2007-10-31,"{""Small Cap"",""US""}",0.0,Maximal historical return,2.218377706021199,9.74524873794115
2007-10-31,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,2.218377706021199,9.74524873794115
2007-10-31,"{""Market_Return"",""EU""}",0.0,Maximal historical return,2.218377706021199,9.74524873794115
2007-10-31,"{""Small Cap"",""EU""}",0.0,Maximal historical return,2.218377706021199,9.74524873794115
2007-10-31,"{""Tech Stocks"",""US""}",1.9081958235744878e-17,Sharpe-portfolio,2.155404532038391,8.98773196605545
2007-10-31,"{""Market_Return"",""US""}",0.0,Sharpe-portfolio,2.155404532038391,8.98773196605545
2007-10-31,"{""Small Cap"",""US""}",1.205632815803881e-16,Sharpe-portfolio,2.155404532038391,8.98773196605545
2007-10-31,"{""Tech Stocks"",""EU""}",0.7215627795790824,Sharpe-portfolio,2.155404532038391,8.98773196605545
2007-10-31,"{""Market_Return"",""EU""}",5.43835809718729e-16,Sharpe-portfolio,2.155404532038391,8.98773196605545
2007-10-31,"{""Small Cap"",""EU""}",0.27843722042091706,Sharpe-portfolio,2.155404532038391,8.98773196605545
2007-10-31,"{""Tech Stocks"",""US""}",0.1514021425259325,Risk Parity,1.4685281607747522,7.896153726425913
2007-10-31,"{""Market_Return"",""US""}",0.17746100305745002,Risk Parity,1.4685281607747522,7.896153726425913
2007-10-31,"{""Small Cap"",""US""}",0.1255288982089365,Risk Parity,1.4685281607747522,7.896153726425913
2007-10-31,"{""Tech Stocks"",""EU""}",0.16658795773182936,Risk Parity,1.4685281607747522,7.896153726425913
2007-10-31,"{""Market_Return"",""EU""}",0.20747707315582947,Risk Parity,1.4685281607747522,7.896153726425913
2007-10-31,"{""Small Cap"",""EU""}",0.17154292532002216,Risk Parity,1.4685281607747522,7.896153726425913
2007-11-30,"{""Tech Stocks"",""US""}",7.997742108767065e-16,Global Minimum Variance portfolio,1.3141792129931442,7.654187470349919
2007-11-30,"{""Market_Return"",""US""}",0.1863186948734601,Global Minimum Variance portfolio,1.3141792129931442,7.654187470349919
2007-11-30,"{""Small Cap"",""US""}",2.4002386102942147e-15,Global Minimum Variance portfolio,1.3141792129931442,7.654187470349919
2007-11-30,"{""Tech Stocks"",""EU""}",6.933081216233381e-15,Global Minimum Variance portfolio,1.3141792129931442,7.654187470349919
2007-11-30,"{""Market_Return"",""EU""}",0.8136813051265217,Global Minimum Variance portfolio,1.3141792129931442,7.654187470349919
2007-11-30,"{""Small Cap"",""EU""}",8.083373020412975e-15,Global Minimum Variance portfolio,1.3141792129931442,7.654187470349919
2007-11-30,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,1.9986689490607317,11.234711818292519
2007-11-30,"{""Market_Return"",""US""}",0.0,Maximal historical return,1.9986689490607317,11.234711818292519
2007-11-30,"{""Small Cap"",""US""}",0.0,Maximal historical return,1.9986689490607317,11.234711818292519
2007-11-30,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,1.9986689490607317,11.234711818292519
2007-11-30,"{""Market_Return"",""EU""}",0.0,Maximal historical return,1.9986689490607317,11.234711818292519
2007-11-30,"{""Small Cap"",""EU""}",0.0,Maximal historical return,1.9986689490607317,11.234711818292519
2007-11-30,"{""Tech Stocks"",""US""}",1.813935200633353e-16,Sharpe-portfolio,1.9986689490607341,11.234711818292554
2007-11-30,"{""Market_Return"",""US""}",9.299761688189649e-17,Sharpe-portfolio,1.9986689490607341,11.234711818292554
2007-11-30,"{""Small Cap"",""US""}",2.68970491608449e-16,Sharpe-portfolio,1.9986689490607341,11.234711818292554
2007-11-30,"{""Tech Stocks"",""EU""}",1.000000000000001,Sharpe-portfolio,1.9986689490607341,11.234711818292554
2007-11-30,"{""Market_Return"",""EU""}",0.0,Sharpe-portfolio,1.9986689490607341,11.234711818292554
2007-11-30,"{""Small Cap"",""EU""}",0.0,Sharpe-portfolio,1.9986689490607341,11.234711818292554
2007-11-30,"{""Tech Stocks"",""US""}",0.15650631746386892,Risk Parity,1.189748379207572,9.882643173766628
2007-11-30,"{""Market_Return"",""US""}",0.18035570298478112,Risk Parity,1.189748379207572,9.882643173766628
2007-11-30,"{""Small Cap"",""US""}",0.12879965277626323,Risk Parity,1.189748379207572,9.882643173766628
2007-11-30,"{""Tech Stocks"",""EU""}",0.17045466956245242,Risk Parity,1.189748379207572,9.882643173766628
2007-11-30,"{""Market_Return"",""EU""}",0.20484592337748042,Risk Parity,1.189748379207572,9.882643173766628
2007-11-30,"{""Small Cap"",""EU""}",0.15903773383515388,Risk Parity,1.189748379207572,9.882643173766628
2007-12-31,"{""Tech Stocks"",""US""}",1.0917982566297965e-15,Global Minimum Variance portfolio,1.1916733087216969,7.840246465437642
2007-12-31,"{""Market_Return"",""US""}",0.22942587728356373,Global Minimum Variance portfolio,1.1916733087216969,7.840246465437642
2007-12-31,"{""Small Cap"",""US""}",2.1850839110799392e-15,Global Minimum Variance portfolio,1.1916733087216969,7.840246465437642
2007-12-31,"{""Tech Stocks"",""EU""}",2.6359439928350983e-15,Global Minimum Variance portfolio,1.1916733087216969,7.840246465437642
2007-12-31,"{""Market_Return"",""EU""}",0.7705741227164278,Global Minimum Variance portfolio,1.1916733087216969,7.840246465437642
2007-12-31,"{""Small Cap"",""EU""}",2.6568846700799225e-15,Global Minimum Variance portfolio,1.1916733087216969,7.840246465437642
2007-12-31,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,1.9397604209036372,11.5039123905443
2007-12-31,"{""Market_Return"",""US""}",0.0,Maximal historical return,1.9397604209036372,11.5039123905443
2007-12-31,"{""Small Cap"",""US""}",0.0,Maximal historical return,1.9397604209036372,11.5039123905443
2007-12-31,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,1.9397604209036372,11.5039123905443
2007-12-31,"{""Market_Return"",""EU""}",0.0,Maximal historical return,1.9397604209036372,11.5039123905443
2007-12-31,"{""Small Cap"",""EU""}",0.0,Maximal historical return,1.9397604209036372,11.5039123905443
2007-12-31,"{""Tech Stocks"",""US""}",0.0,Sharpe-portfolio,1.939760420903637,11.5039123905443
2007-12-31,"{""Market_Return"",""US""}",0.0,Sharpe-portfolio,1.939760420903637,11.5039123905443
2007-12-31,"{""Small Cap"",""US""}",0.0,Sharpe-portfolio,1.939760420903637,11.5039123905443
2007-12-31,"{""Tech Stocks"",""EU""}",0.9999999999999993,Sharpe-portfolio,1.939760420903637,11.5039123905443
2007-12-31,"{""Market_Return"",""EU""}",6.084542591988651e-16,Sharpe-portfolio,1.939760420903637,11.5039123905443
2007-12-31,"{""Small Cap"",""EU""}",1.724871962446755e-16,Sharpe-portfolio,1.939760420903637,11.5039123905443
2007-12-31,"{""Tech Stocks"",""US""}",0.1580396770928712,Risk Parity,1.136111112048191,9.992575163590523
2007-12-31,"{""Market_Return"",""US""}",0.18164263282483467,Risk Parity,1.136111112048191,9.992575163590523
2007-12-31,"{""Small Cap"",""US""}",0.1298380679808641,Risk Parity,1.136111112048191,9.992575163590523
2007-12-31,"{""Tech Stocks"",""EU""}",0.16979148968050442,Risk Parity,1.136111112048191,9.992575163590523
2007-12-31,"{""Market_Return"",""EU""}",0.2031472753739186,Risk Parity,1.136111112048191,9.992575163590523
2007-12-31,"{""Small Cap"",""EU""}",0.15754085704700693,Risk Parity,1.136111112048191,9.992575163590523
2008-01-31,"{""Tech Stocks"",""US""}",0.0,Global Minimum Variance portfolio,0.617416449829598,10.686972089857367
2008-01-31,"{""Market_Return"",""US""}",0.5463103422799359,Global Minimum Variance portfolio,0.617416449829598,10.686972089857367
2008-01-31,"{""Small Cap"",""US""}",0.0,Global Minimum Variance portfolio,0.617416449829598,10.686972089857367
2008-01-31,"{""Tech Stocks"",""EU""}",2.2209316032418824e-15,Global Minimum Variance portfolio,0.617416449829598,10.686972089857367
2008-01-31,"{""Market_Return"",""EU""}",0.45368965772007935,Global Minimum Variance portfolio,0.617416449829598,10.686972089857367
2008-01-31,"{""Small Cap"",""EU""}",2.4792033735965264e-15,Global Minimum Variance portfolio,0.617416449829598,10.686972089857367
2008-01-31,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,1.5629281321831492,15.36377518437701
2008-01-31,"{""Market_Return"",""US""}",0.0,Maximal historical return,1.5629281321831492,15.36377518437701
2008-01-31,"{""Small Cap"",""US""}",0.0,Maximal historical return,1.5629281321831492,15.36377518437701
2008-01-31,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,1.5629281321831492,15.36377518437701
2008-01-31,"{""Market_Return"",""EU""}",0.0,Maximal historical return,1.5629281321831492,15.36377518437701
2008-01-31,"{""Small Cap"",""EU""}",0.0,Maximal historical return,1.5629281321831492,15.36377518437701
2008-01-31,"{""Tech Stocks"",""US""}",0.0,Sharpe-portfolio,1.5629281321831492,15.363775184377014
2008-01-31,"{""Market_Return"",""US""}",1.2757476194916545e-16,Sharpe-portfolio,1.5629281321831492,15.363775184377014
2008-01-31,"{""Small Cap"",""US""}",6.750061719193605e-18,Sharpe-portfolio,1.5629281321831492,15.363775184377014
2008-01-31,"{""Tech Stocks"",""EU""}",1.0,Sharpe-portfolio,1.5629281321831492,15.363775184377014
2008-01-31,"{""Market_Return"",""EU""}",0.0,Sharpe-portfolio,1.5629281321831492,15.363775184377014
2008-01-31,"{""Small Cap"",""EU""}",0.0,Sharpe-portfolio,1.5629281321831492,15.363775184377014
2008-01-31,"{""Tech Stocks"",""US""}",0.15843916012171286,Risk Parity,0.7718695216076258,12.93265051037801
2008-01-31,"{""Market_Return"",""US""}",0.18985429872882115,Risk Parity,0.7718695216076258,12.93265051037801
2008-01-31,"{""Small Cap"",""US""}",0.1398229455758821,Risk Parity,0.7718695216076258,12.93265051037801
2008-01-31,"{""Tech Stocks"",""EU""}",0.16475091345464873,Risk Parity,0.7718695216076258,12.93265051037801
2008-01-31,"{""Market_Return"",""EU""}",0.18667768238920895,Risk Parity,0.7718695216076258,12.93265051037801
2008-01-31,"{""Small Cap"",""EU""}",0.16045499972972613,Risk Parity,0.7718695216076258,12.93265051037801
2008-02-29,"{""Tech Stocks"",""US""}",0.0,Global Minimum Variance portfolio,0.5716653230459423,10.907483322961127
2008-02-29,"{""Market_Return"",""US""}",0.452725396726978,Global Minimum Variance portfolio,0.5716653230459423,10.907483322961127
2008-02-29,"{""Small Cap"",""US""}",0.0,Global Minimum Variance portfolio,0.5716653230459423,10.907483322961127
2008-02-29,"{""Tech Stocks"",""EU""}",7.682676207836067e-15,Global Minimum Variance portfolio,0.5716653230459423,10.907483322961127
2008-02-29,"{""Market_Return"",""EU""}",0.5472746032732071,Global Minimum Variance portfolio,0.5716653230459423,10.907483322961127
2008-02-29,"{""Small Cap"",""EU""}",2.8005206656193974e-14,Global Minimum Variance portfolio,0.5716653230459423,10.907483322961127
2008-02-29,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,1.4947464167137392,15.303943241109312
2008-02-29,"{""Market_Return"",""US""}",0.0,Maximal historical return,1.4947464167137392,15.303943241109312
2008-02-29,"{""Small Cap"",""US""}",0.0,Maximal historical return,1.4947464167137392,15.303943241109312
2008-02-29,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,1.4947464167137392,15.303943241109312
2008-02-29,"{""Market_Return"",""EU""}",0.0,Maximal historical return,1.4947464167137392,15.303943241109312
2008-02-29,"{""Small Cap"",""EU""}",0.0,Maximal historical return,1.4947464167137392,15.303943241109312
2008-02-29,"{""Tech Stocks"",""US""}",0.0,Sharpe-portfolio,1.4947464167137392,15.303943241109316
2008-02-29,"{""Market_Return"",""US""}",2.309701749009217e-17,Sharpe-portfolio,1.4947464167137392,15.303943241109316
2008-02-29,"{""Small Cap"",""US""}",2.4461189971788697e-16,Sharpe-portfolio,1.4947464167137392,15.303943241109316
2008-02-29,"{""Tech Stocks"",""EU""}",0.9999999999999998,Sharpe-portfolio,1.4947464167137392,15.303943241109316
2008-02-29,"{""Market_Return"",""EU""}",1.7694179454963432e-16,Sharpe-portfolio,1.4947464167137392,15.303943241109316
2008-02-29,"{""Small Cap"",""EU""}",1.574836905311276e-17,Sharpe-portfolio,1.4947464167137392,15.303943241109316
2008-02-29,"{""Tech Stocks"",""US""}",0.15878715483694592,Risk Parity,0.6747932315379294,13.035553715718281
2008-02-29,"{""Market_Return"",""US""}",0.18556558150277397,Risk Parity,0.6747932315379294,13.035553715718281
2008-02-29,"{""Small Cap"",""US""}",0.13786193054068294,Risk Parity,0.6747932315379294,13.035553715718281
2008-02-29,"{""Tech Stocks"",""EU""}",0.16644780856110314,Risk Parity,0.6747932315379294,13.035553715718281
2008-02-29,"{""Market_Return"",""EU""}",0.18900217886286752,Risk Parity,0.6747932315379294,13.035553715718281
2008-02-29,"{""Small Cap"",""EU""}",0.1623353456956266,Risk Parity,0.6747932315379294,13.035553715718281
2008-03-31,"{""Tech Stocks"",""US""}",0.0,Global Minimum Variance portfolio,0.4604779845550876,11.529309607065159
2008-03-31,"{""Market_Return"",""US""}",0.44129720034545206,Global Minimum Variance portfolio,0.4604779845550876,11.529309607065159
2008-03-31,"{""Small Cap"",""US""}",0.0,Global Minimum Variance portfolio,0.4604779845550876,11.529309607065159
2008-03-31,"{""Tech Stocks"",""EU""}",1.0094961845132344e-15,Global Minimum Variance portfolio,0.4604779845550876,11.529309607065159
2008-03-31,"{""Market_Return"",""EU""}",0.5587027996546606,Global Minimum Variance portfolio,0.4604779845550876,11.529309607065159
2008-03-31,"{""Small Cap"",""EU""}",1.5778324076459828e-14,Global Minimum Variance portfolio,0.4604779845550876,11.529309607065159
2008-03-31,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,1.398784886823944,16.178793100278348
2008-03-31,"{""Market_Return"",""US""}",0.0,Maximal historical return,1.398784886823944,16.178793100278348
2008-03-31,"{""Small Cap"",""US""}",0.0,Maximal historical return,1.398784886823944,16.178793100278348
2008-03-31,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,1.398784886823944,16.178793100278348
2008-03-31,"{""Market_Return"",""EU""}",0.0,Maximal historical return,1.398784886823944,16.178793100278348
2008-03-31,"{""Small Cap"",""EU""}",0.0,Maximal historical return,1.398784886823944,16.178793100278348
2008-03-31,"{""Tech Stocks"",""US""}",4.0316068195949825e-16,Sharpe-portfolio,1.3987848868239436,16.17879310027834
2008-03-31,"{""Market_Return"",""US""}",7.40538614924515e-17,Sharpe-portfolio,1.3987848868239436,16.17879310027834
2008-03-31,"{""Small Cap"",""US""}",2.5060520648044463e-17,Sharpe-portfolio,1.3987848868239436,16.17879310027834
2008-03-31,"{""Tech Stocks"",""EU""}",0.9999999999999994,Sharpe-portfolio,1.3987848868239436,16.17879310027834
2008-03-31,"{""Market_Return"",""EU""}",3.8163916471489756e-17,Sharpe-portfolio,1.3987848868239436,16.17879310027834
2008-03-31,"{""Small Cap"",""EU""}",0.0,Sharpe-portfolio,1.3987848868239436,16.17879310027834
2008-03-31,"{""Tech Stocks"",""US""}",0.15973745713634152,Risk Parity,0.5583190190151474,13.722340644409568
2008-03-31,"{""Market_Return"",""US""}",0.18470816786344232,Risk Parity,0.5583190190151474,13.722340644409568
2008-03-31,"{""Small Cap"",""US""}",0.1390356169292668,Risk Parity,0.5583190190151474,13.722340644409568
2008-03-31,"{""Tech Stocks"",""EU""}",0.16542749437667634,Risk Parity,0.5583190190151474,13.722340644409568
2008-03-31,"{""Market_Return"",""EU""}",0.18871079389199016,Risk Parity,0.5583190190151474,13.722340644409568
2008-03-31,"{""Small Cap"",""EU""}",0.16238046980228282,Risk Parity,0.5583190190151474,13.722340644409568
2008-04-30,"{""Tech Stocks"",""US""}",3.043469887349407e-14,Global Minimum Variance portfolio,0.7433102236177893,12.287194405986796
2008-04-30,"{""Market_Return"",""US""}",0.39530449087649244,Global Minimum Variance portfolio,0.7433102236177893,12.287194405986796
2008-04-30,"{""Small Cap"",""US""}",3.8807923256362265e-14,Global Minimum Variance portfolio,0.7433102236177893,12.287194405986796
2008-04-30,"{""Tech Stocks"",""EU""}",0.0,Global Minimum Variance portfolio,0.7433102236177893,12.287194405986796
2008-04-30,"{""Market_Return"",""EU""}",0.6046955091234668,Global Minimum Variance portfolio,0.7433102236177893,12.287194405986796
2008-04-30,"{""Small Cap"",""EU""}",0.0,Global Minimum Variance portfolio,0.7433102236177893,12.287194405986796
2008-04-30,"{""Tech Stocks"",""US""}",0.0,Maximal historical return,1.6762458622703325,16.458003149103597
2008-04-30,"{""Market_Return"",""US""}",0.0,Maximal historical return,1.6762458622703325,16.458003149103597
2008-04-30,"{""Small Cap"",""US""}",0.0,Maximal historical return,1.6762458622703325,16.458003149103597
2008-04-30,"{""Tech Stocks"",""EU""}",1.0,Maximal historical return,1.6762458622703325,16.458003149103597
2008-04-30,"{""Market_Return"",""EU""}",0.0,Maximal historical return,1.6762458622703325,16.458003149103597
2008-04-30,"{""Small Cap"",""EU""}",0.0,Maximal historical return,1.6762458622703325,16.458003149103597
2008-04-30,"{""Tech Stocks"",""US""}",0.0,Sharpe-portfolio,1.6762458622703333,16.458003149103625
2008-04-30,"{""Market_Return"",""US""}",0.0,Sharpe-portfolio,1.6762458622703333,16.458003149103625
2008-04-30,"{""Small Cap"",""US""}",3.4468731517825306e-16,Sharpe-portfolio,1.6762458622703333,16.458003149103625
2008-04-30,"{""Tech Stocks"",""EU""}",1.0000000000000004,Sharpe-portfolio,1.6762458622703333,16.458003149103625
2008-04-30,"{""Market_Return"",""EU""}",1.5265566588595902e-16,Sharpe-portfolio,1.6762458622703333,16.458003149103625
2008-04-30,"{""Small Cap"",""EU""}",0.0,Sharpe-portfolio,1.6762458622703333,16.458003149103625
