TIME_PERIOD,Portfolio,Historical return,Historical variance,Type
2009-06-30,"{""Tech Stocks"",""US""}",-0.9129149738352196,21.139089077683316,p
2009-06-30,"{""Market_Return"",""US""}",-0.847484003469536,23.63969769878086,p
2009-06-30,"{""Small Cap"",""US""}",-0.8845380184250445,49.4216560346181,p
2009-06-30,"{""Tech Stocks"",""EU""}",-0.5758573125802057,23.04199333186684,p
2009-06-30,"{""Market_Return"",""EU""}",-0.7642567607483032,31.776188141361,p
2009-06-30,"{""Small Cap"",""EU""}",-0.8526515462572298,46.44930343173754,p
2009-06-30,Bounded efficient frontier,-0.7799118095785389,19.90538056668852,l
2009-06-30,Bounded efficient frontier,-0.7699118095785389,19.911797431773415,l
2009-06-30,Bounded efficient frontier,-0.7599118095785389,19.931048023183237,l
2009-06-30,Bounded efficient frontier,-0.7499118095785389,19.96313234066802,l
2009-06-30,Bounded efficient frontier,-0.7399118095785389,20.00805038619414,l
2009-06-30,Bounded efficient frontier,-0.7299118095785389,20.065802155036632,l
2009-06-30,Bounded efficient frontier,-0.7199118095785388,20.136387652059263,l
2009-06-30,Bounded efficient frontier,-0.7099118095785388,20.21980687473634,l
2009-06-30,Bounded efficient frontier,-0.6999118095785388,20.316059824071267,l
2009-06-30,Bounded efficient frontier,-0.6899118095785388,20.42514650152593,l
2009-06-30,Bounded efficient frontier,-0.6799118095785388,20.547066901679123,l
2009-06-30,Bounded efficient frontier,-0.6699118095785388,20.68182102993871,l
2009-06-30,Bounded efficient frontier,-0.6599118095785388,20.829408884904343,l
2009-06-30,Bounded efficient frontier,-0.6499118095785388,20.98983046639732,l
2009-06-30,Bounded efficient frontier,-0.6399118095785388,21.170057612705417,l
2009-06-30,Bounded efficient frontier,-0.6299118095785388,21.380465048026412,l
2009-06-30,Bounded efficient frontier,-0.6199118095785388,21.62115070020243,l
2009-06-30,Bounded efficient frontier,-0.6099118095785387,21.8921145564457,l
2009-06-30,Bounded efficient frontier,-0.5999118095785387,22.19335659832494,l
2009-06-30,Bounded efficient frontier,-0.5899118095785387,22.524876900631934,l
2009-06-30,Bounded efficient frontier,-0.5799118095785387,22.88667538853383,l
2009-06-30,Global Minimum Variance portfolio,-0.7799118095785389,19.9053805666926,p
2009-06-30,Maximal historical return,-0.5758573125802057,23.04199333186684,p
2009-06-30,Sharpe-portfolio,-0.8526515462572305,46.449303431737555,p
2009-06-30,"{""Market_Return"",""US""}",-0.847484003469536,23.63969769878086,p
2009-06-30,"{""Tech Stocks"",""EU""}",-0.5758573125802057,23.04199333186684,p
2009-06-30,Risk Parity,-0.8009478098727406,24.914198453243014,p
2009-06-30,"{""Tech Stocks"",""US""}",-0.9129149738352196,21.139089077683316,p
2009-06-30,"{""Market_Return"",""EU""}",-0.7642567607483032,31.776188141361,p
2009-06-30,"{""Small Cap"",""US""}",-0.8845380184250445,49.4216560346181,p
2009-06-30,"{""Small Cap"",""EU""}",-0.8526515462572298,46.44930343173754,p
2014-06-30,"{""Tech Stocks"",""US""}",1.3879318495274642,11.474987653124431,p
2014-06-30,"{""Market_Return"",""US""}",1.4915161103861263,7.964659038108911,p
2014-06-30,"{""Small Cap"",""US""}",1.5352274058455588,16.505036172575164,p
2014-06-30,"{""Tech Stocks"",""EU""}",1.247437888880932,17.09106524573603,p
2014-06-30,"{""Market_Return"",""EU""}",0.9517052192431417,13.838858807342696,p
2014-06-30,"{""Small Cap"",""EU""}",1.0154185941494471,13.621967628560837,p
2014-06-30,Bounded efficient frontier,1.3795065605584051,7.373249372910522,l
2014-06-30,Bounded efficient frontier,1.3895065605584052,7.377963255064014,l
2014-06-30,Bounded efficient frontier,1.3995065605584052,7.392104893209456,l
2014-06-30,Bounded efficient frontier,1.4095065605584052,7.415674287347599,l
2014-06-30,Bounded efficient frontier,1.4195065605584052,7.448671437479682,l
2014-06-30,Bounded efficient frontier,1.4295065605584052,7.491096343604418,l
2014-06-30,Bounded efficient frontier,1.4395065605584052,7.542949005722496,l
2014-06-30,Bounded efficient frontier,1.4495065605584052,7.604229423831075,l
2014-06-30,Bounded efficient frontier,1.4595065605584052,7.674937597934958,l
2014-06-30,Bounded efficient frontier,1.4695065605584052,7.755073528030917,l
2014-06-30,Bounded efficient frontier,1.4795065605584052,7.844637214120105,l
2014-06-30,Bounded efficient frontier,1.4895065605584052,7.943628656202938,l
2014-06-30,Bounded efficient frontier,1.4995065605584053,8.955768662546864,l
2014-06-30,Bounded efficient frontier,1.5095065605584053,10.555456875748542,l
2014-06-30,Bounded efficient frontier,1.5195065605584053,12.554602390599547,l
2014-06-30,Bounded efficient frontier,1.5295065605584053,14.95320402592641,l
2014-06-30,"{""Small Cap"",""US""}",1.5352274058455588,16.505036172575164,p
2014-06-30,Maximal historical return,1.5352274058455588,16.505036172575164,p
2014-06-30,"{""Market_Return"",""US""}",1.4915161103861263,7.964659038108911,p
2014-06-30,Sharpe-portfolio,1.4915161103861267,7.964659038108918,p
2014-06-30,"{""Small Cap"",""EU""}",1.0154185941494471,13.621967628560837,p
2014-06-30,"{""Tech Stocks"",""US""}",1.3879318495274642,11.474987653124431,p
2014-06-30,Risk Parity,1.2810850551259665,9.99209263950383,p
2014-06-30,Global Minimum Variance portfolio,1.3795065605584051,7.373249372910254,p
2014-06-30,"{""Tech Stocks"",""EU""}",1.247437888880932,17.09106524573603,p
2014-06-30,"{""Market_Return"",""EU""}",0.9517052192431417,13.838858807342696,p
2019-06-30,"{""Tech Stocks"",""US""}",1.138573737120706,14.174817170903438,p
2019-06-30,"{""Market_Return"",""US""}",1.1578889605581886,13.898531220938347,p
2019-06-30,"{""Small Cap"",""US""}",1.0738428582213764,29.714873137111187,p
2019-06-30,"{""Tech Stocks"",""EU""}",0.8718287002484667,8.881607979981048,p
2019-06-30,"{""Market_Return"",""EU""}",0.7884778454200485,8.69196873138739,p
2019-06-30,"{""Small Cap"",""EU""}",0.8041819979821736,9.367659591932807,p
2019-06-30,Bounded efficient frontier,0.8814901006999327,8.011640541955446,l
2019-06-30,Bounded efficient frontier,0.8914901006999327,8.015671576986255,l
2019-06-30,Bounded efficient frontier,0.9014901006999327,8.027803153904204,l
2019-06-30,Bounded efficient frontier,0.9114901006999327,8.048084888869065,l
2019-06-30,Bounded efficient frontier,0.9214901006999328,8.077143288324336,l
2019-06-30,Bounded efficient frontier,0.9314901006999328,8.115167597483111,l
2019-06-30,Bounded efficient frontier,0.9414901006999328,8.162172158153451,l
2019-06-30,Bounded efficient frontier,0.9514901006999328,8.220232343812404,l
2019-06-30,Bounded efficient frontier,0.9614901006999328,8.290828579515459,l
2019-06-30,Bounded efficient frontier,0.9714901006999328,8.373960943113802,l
2019-06-30,Bounded efficient frontier,0.9814901006999328,8.469629372390171,l
2019-06-30,Bounded efficient frontier,0.9914901006999328,8.578722585584508,l
2019-06-30,Bounded efficient frontier,1.0014901006999328,8.709793741306804,l
2019-06-30,Bounded efficient frontier,1.0114901006999328,8.864987029126315,l
2019-06-30,Bounded efficient frontier,1.0214901006999328,9.044300405268856,l
2019-06-30,Bounded efficient frontier,1.0314901006999329,9.247006462980316,l
2019-06-30,Bounded efficient frontier,1.0414901006999329,9.472495632828087,l
2019-06-30,Bounded efficient frontier,1.0514901006999329,9.720767924916526,l
2019-06-30,Bounded efficient frontier,1.0614901006999329,9.991823336946524,l
2019-06-30,Bounded efficient frontier,1.071490100699933,10.285661859086021,l
2019-06-30,Bounded efficient frontier,1.081490100699933,10.60228352043122,l
2019-06-30,Bounded efficient frontier,1.091490100699933,10.941688291955902,l
2019-06-30,Bounded efficient frontier,1.101490100699933,11.30387618327178,l
2019-06-30,Bounded efficient frontier,1.111490100699933,11.68884719425956,l
2019-06-30,Bounded efficient frontier,1.121490100699933,12.096601317826604,l
2019-06-30,Bounded efficient frontier,1.131490100699933,12.527138445287624,l
2019-06-30,Bounded efficient frontier,1.141490100699933,12.980458930630062,l
2019-06-30,Bounded efficient frontier,1.151490100699933,13.45656235826803,l
2019-06-30,"{""Tech Stocks"",""US""}",1.138573737120706,14.174817170903438,p
2019-06-30,Maximal historical return,1.1578889605581886,13.898531220938347,p
2019-06-30,Global Minimum Variance portfolio,0.8814901006999327,8.011640543522756,p
2019-06-30,Sharpe-portfolio,1.0148150102423878,8.921930715412515,p
2019-06-30,"{""Tech Stocks"",""EU""}",0.8718287002484667,8.881607979981048,p
2019-06-30,Risk Parity,0.9499472292411509,9.310307495481462,p
2019-06-30,"{""Market_Return"",""US""}",1.1578889605581886,13.898531220938347,p
2019-06-30,"{""Small Cap"",""EU""}",0.8041819979821736,9.367659591932807,p
2019-06-30,"{""Market_Return"",""EU""}",0.7884778454200485,8.69196873138739,p
2019-06-30,"{""Small Cap"",""US""}",1.0738428582213764,29.714873137111187,p
2024-06-30,"{""Tech Stocks"",""US""}",1.1467013022334918,21.32148222416759,p
2024-06-30,"{""Market_Return"",""US""}",1.0521654765928605,19.01045269422979,p
2024-06-30,"{""Small Cap"",""US""}",0.11759961572306911,32.91126849981262,p
2024-06-30,"{""Tech Stocks"",""EU""}",0.45069495587016245,15.568176739643436,p
2024-06-30,"{""Market_Return"",""EU""}",0.5435153989161594,16.23709720781477,p
2024-06-30,"{""Small Cap"",""EU""}",-0.023104678960055018,20.896107679549864,p
