TIME_PERIOD,Portfolio,Historical return,Historical variance,Type
2009-06-30,"{""Market_Return"",""EU""}",-1.0685870648142957,31.776188141361,p
2009-06-30,"{""Market_Return"",""US""}",-1.1518143075355285,23.63969769878086,p
2009-06-30,"{""RF"",""EU""}",0.0,0.011041266459453077,p
2009-06-30,"{""MOM"",""EU""}",0.17710340512307943,34.704258907043894,p
2009-06-30,"{""MOM"",""US""}",-0.7312134858324958,60.08668086740837,p
2009-06-30,"{""SMB"",""EU""}",-0.4058092958282331,5.657517131298791,p
2009-06-30,"{""SMB"",""US""}",-0.21142992367811617,7.401670003934908,p
2009-06-30,Bounded efficient frontier,-0.3163886587650455,1.6994115930775744,l
2009-06-30,Bounded efficient frontier,-0.3063886587650455,1.7012517986617923,l
2009-06-30,Bounded efficient frontier,-0.2963886587650455,1.706785751837486,l
2009-06-30,Bounded efficient frontier,-0.2863886587650455,1.7160132604971872,l
2009-06-30,Bounded efficient frontier,-0.2763886587650455,1.7289343273880455,l
2009-06-30,Bounded efficient frontier,-0.26638865876504547,1.745548947830164,l
2009-06-30,Bounded efficient frontier,-0.25638865876504546,1.7658571242187064,l
2009-06-30,Bounded efficient frontier,-0.24638865876504545,1.7898588498292556,l
2009-06-30,Bounded efficient frontier,-0.23638865876504545,1.817554506689683,l
2009-06-30,Bounded efficient frontier,-0.22638865876504544,1.84894308440371,l
2009-06-30,Bounded efficient frontier,-0.21638865876504543,1.8840293189912405,l
2009-06-30,Bounded efficient frontier,-0.20638865876504542,1.9242539660501436,l
2009-06-30,Bounded efficient frontier,-0.1963886587650454,1.9707837019272358,l
2009-06-30,Bounded efficient frontier,-0.1863886587650454,2.023618504241605,l
2009-06-30,Bounded efficient frontier,-0.1763886587650454,2.082758374239349,l
2009-06-30,Bounded efficient frontier,-0.16638865876504538,2.1482033096448125,l
2009-06-30,Bounded efficient frontier,-0.15638865876504537,2.219953420586945,l
2009-06-30,Bounded efficient frontier,-0.14638865876504537,2.2980085020697394,l
2009-06-30,Bounded efficient frontier,-0.13638865876504536,2.382368509183831,l
2009-06-30,Bounded efficient frontier,-0.12638865876504535,2.4730337067452166,l
2009-06-30,Bounded efficient frontier,-0.11638865876504534,2.5700041153053337,l
2009-06-30,Bounded efficient frontier,-0.10638865876504533,2.6732793863316564,l
2009-06-30,Bounded efficient frontier,-0.09638865876504532,2.7838283172085125,l
2009-06-30,Bounded efficient frontier,-0.08638865876504531,2.9070058262962313,l
