TIME_PERIOD,Portfolio,Return,Avg_FirmSize,N_firms,Region,N_Portfolios,Portfolio_market_size,Market_return,USD_to_EUR,Monthly_Exchange_Return,Return_EUR,SMB_USD,MOM_USD,RF_USD,SMB_EUR,MOM_EUR,RF_EUR
2004-08-31,BIG HiPRIOR,-0.14,16821.75,35,US,25,588761.25,0.17488798876399841,0.825695648583932,1.0246057303278011,-0.14344480224589218,,,,,,
2004-08-31,BIG HiPRIOR,0.41,10532.01,34,EU,25,358088.34,0.4626395611058049,0.825695648583932,1.0246057303278011,0.42008834943439843,,,,,,
2004-08-31,BIG LoPRIOR,1.23,34545.39,64,US,25,2210904.96,0.17488798876399841,0.825695648583932,1.0246057303278011,1.2602650483031954,,,,,,
2004-08-31,BIG LoPRIOR,0.92,23118.52,73,EU,25,1687651.96,0.4626395611058049,0.825695648583932,1.0246057303278011,0.9426372719015771,,,,,,
2004-08-31,ME1 PRIOR2,1.29,68.42,412,EU,25,28189.04,0.4626395611058049,0.825695648583932,1.0246057303278011,1.3217413921228636,,,,,,
2004-08-31,ME1 PRIOR2,-1.77,149.12,397,US,25,59200.64,0.17488798876399841,0.825695648583932,1.0246057303278011,-1.813552142680208,,,,,,
2004-08-31,ME1 PRIOR3,-0.64,160.03,327,US,25,52329.81,0.17488798876399841,0.825695648583932,1.0246057303278011,-0.6557476674097927,,,,,,
2004-08-31,ME1 PRIOR3,0.35,70.31,348,EU,25,24467.88,0.4626395611058049,0.825695648583932,1.0246057303278011,0.3586120056147304,,,,,,
2004-08-31,ME1 PRIOR4,0.4,77.1,411,EU,25,31688.1,0.4626395611058049,0.825695648583932,1.0246057303278011,0.40984229213112044,,,,,,
2004-08-31,ME1 PRIOR4,-0.97,150.33,358,US,25,53818.14000000001,0.17488798876399841,0.825695648583932,1.0246057303278011,-0.993867558417967,,,,,,
2004-08-31,ME2 PRIOR1,-1.32,429.96,157,EU,25,67503.72,0.4626395611058049,0.825695648583932,1.0246057303278011,-1.3524795640326974,,,,,,
2004-08-31,ME2 PRIOR1,-1.23,714.12,138,US,25,98548.56,0.17488798876399841,0.825695648583932,1.0246057303278011,-1.2602650483031954,,,,,,
2004-08-31,ME2 PRIOR2,-0.05,468.36,105,EU,25,49177.8,0.4626395611058049,0.825695648583932,1.0246057303278011,-0.051230286516390056,,,,,,
2004-08-31,ME2 PRIOR2,-0.84,734.44,106,US,25,77850.64,0.17488798876399841,0.825695648583932,1.0246057303278011,-0.860668813475353,,,,,,
2004-08-31,ME2 PRIOR3,0.42,435.81,99,EU,25,43145.19,0.4626395611058049,0.825695648583932,1.0246057303278011,0.4303344067376765,,,,,,
2004-08-31,ME2 PRIOR3,1.09,715.22,103,US,25,73667.66,0.17488798876399841,0.825695648583932,1.0246057303278011,1.1168202460573033,,,,,,
2004-08-31,ME2 PRIOR4,1.39,449.17,128,EU,25,57493.76,0.4626395611058049,0.825695648583932,1.0246057303278011,1.4242019651556435,,,,,,
2004-08-31,ME2 PRIOR4,-2.76,759.04,112,US,25,85012.48,0.17488798876399841,0.825695648583932,1.0246057303278011,-2.8279118157047307,,,,,,
2004-08-31,ME2 PRIOR5,0.98,463.93,213,EU,25,98817.09,0.4626395611058049,0.825695648583932,1.0246057303278011,1.0041136157212451,,,,,,
2004-08-31,ME2 PRIOR5,-2.96,735.76,138,US,25,101534.88,0.17488798876399841,0.825695648583932,1.0246057303278011,-3.0328329617702914,,,,,,
2004-08-31,ME3 PRIOR1,-1.23,1524.86,74,US,25,112839.64,0.17488798876399841,0.825695648583932,1.0246057303278011,-1.2602650483031954,,,,,,
2004-08-31,ME3 PRIOR1,-1.51,1189.36,66,EU,25,78497.76,0.4626395611058049,0.825695648583932,1.0246057303278011,-1.5471546527949798,,,,,,
2004-08-31,ME3 PRIOR2,1.04,1524.35,74,US,25,112801.9,0.17488798876399841,0.825695648583932,1.0246057303278011,1.0655899595409133,,,,,,
2004-08-31,ME3 PRIOR2,0.01,1227.71,58,EU,25,71207.18000000001,0.4626395611058049,0.825695648583932,1.0246057303278011,0.010246057303278011,,,,,,
2004-08-31,ME3 PRIOR3,1.28,1146.84,65,EU,25,74544.59999999999,0.4626395611058049,0.825695648583932,1.0246057303278011,1.3114953348195855,,,,,,
2004-08-31,ME3 PRIOR3,-0.5,1601.77,86,US,25,137752.22,0.17488798876399841,0.825695648583932,1.0246057303278011,-0.5123028651639006,,,,,,
2004-08-31,ME3 PRIOR4,0.0,1155.85,86,EU,25,99403.09999999999,0.4626395611058049,0.825695648583932,1.0246057303278011,0.0,,,,,,
2004-08-31,ME3 PRIOR4,-0.99,1593.58,99,US,25,157764.41999999998,0.17488798876399841,0.825695648583932,1.0246057303278011,-1.014359673024523,,,,,,
2004-08-31,ME3 PRIOR5,0.76,1160.51,120,EU,25,139261.2,0.4626395611058049,0.825695648583932,1.0246057303278011,0.7787003550491288,,,,,,
2004-08-31,ME3 PRIOR5,-3.14,1528.2,108,US,25,165045.6,0.17488798876399841,0.825695648583932,1.0246057303278011,-3.2172619932292954,,,,,,
2004-08-31,ME4 PRIOR1,-0.66,2990.31,62,EU,25,185399.22,0.4626395611058049,0.825695648583932,1.0246057303278011,-0.6762397820163487,,,,,,
2004-08-31,ME4 PRIOR1,0.18,3487.61,58,US,25,202281.38,0.17488798876399841,0.825695648583932,1.0246057303278011,0.1844290314590042,,,,,,
2004-08-31,ME4 PRIOR2,0.89,3124.23,56,EU,25,174956.88,0.4626395611058049,0.825695648583932,1.0246057303278011,0.911899099991743,,,,,,
2004-08-31,ME4 PRIOR2,0.24,3531.11,83,US,25,293082.13,0.17488798876399841,0.825695648583932,1.0246057303278011,0.24590537527867226,,,,,,
2004-08-31,ME4 PRIOR3,0.76,3133.93,55,EU,25,172366.15,0.4626395611058049,0.825695648583932,1.0246057303278011,0.7787003550491288,,,,,,
2004-08-31,ME4 PRIOR3,0.83,3817.83,86,US,25,328333.38,0.17488798876399841,0.825695648583932,1.0246057303278011,0.8504227561720749,,,,,,
2004-08-31,ME4 PRIOR4,1.12,3061.99,64,EU,25,195967.36,0.4626395611058049,0.825695648583932,1.0246057303278011,1.1475584179671374,,,,,,
2004-08-31,ME4 PRIOR4,-1.13,3604.68,80,US,25,288374.39999999997,0.17488798876399841,0.825695648583932,1.0246057303278011,-1.157804475270415,,,,,,
2004-08-31,ME4 PRIOR5,1.82,2970.76,70,EU,25,207953.2,0.4626395611058049,0.825695648583932,1.0246057303278011,1.864782429196598,,,,,,
2004-08-31,ME4 PRIOR5,-2.05,3715.94,73,US,25,271263.62,0.17488798876399841,0.825695648583932,1.0246057303278011,-2.1004417471719923,,,,,,
2004-08-31,ME5 PRIOR2,0.9,22755.46,76,EU,25,1729414.96,0.4626395611058049,0.825695648583932,1.0246057303278011,0.922145157295021,,,,,,
2004-08-31,ME5 PRIOR2,0.42,40910.34,91,US,25,3722840.9399999995,0.17488798876399841,0.825695648583932,1.0246057303278011,0.4303344067376765,,,,,,
2004-08-31,ME5 PRIOR3,0.36,24477.65,81,US,25,1982689.6500000001,0.17488798876399841,0.825695648583932,1.0246057303278011,0.3688580629180084,,,,,,
2004-08-31,ME5 PRIOR3,-0.86,22884.53,67,EU,25,1533263.51,0.4626395611058049,0.825695648583932,1.0246057303278011,-0.8811609280819089,,,,,,
2004-08-31,ME5 PRIOR4,1.11,15068.21,52,EU,25,783546.9199999999,0.4626395611058049,0.825695648583932,1.0246057303278011,1.1373123606638593,,,,,,
2004-08-31,ME5 PRIOR4,-0.16,18677.02,66,US,25,1232683.32,0.17488798876399841,0.825695648583932,1.0246057303278011,-0.16393691685244818,,,,,,
2004-08-31,SMALL HiPRIOR,-2.39,156.63,687,US,25,107604.81,0.17488798876399841,0.825695648583932,1.0246057303278011,-2.4488076954834446,,,,,,
2004-08-31,SMALL HiPRIOR,0.23,66.34,1103,EU,25,73173.02,0.4626395611058049,0.825695648583932,1.0246057303278011,0.23565931797539427,,,,,,
2004-08-31,SMALL LoPRIOR,-1.21,127.88,968,US,25,123787.84,0.17488798876399841,0.825695648583932,1.0246057303278011,-1.2397729336966392,,,,,,
2004-08-31,SMALL LoPRIOR,-1.61,43.48,1615,EU,25,70220.2,0.4626395611058049,0.825695648583932,1.0246057303278011,-1.6496152258277599,,,,,,
2004-09-30,BIG HiPRIOR,7.43,17361.33,37,US,25,642369.2100000001,1.6498839893859962,0.8058667096462245,1.0264324280763961,7.626392940607623,,,,,,
2004-09-30,BIG HiPRIOR,4.38,12652.56,37,EU,25,468144.72,4.067175849594182,0.8058667096462245,1.0264324280763961,4.495774034974615,,,,,,
2004-09-30,BIG LoPRIOR,-0.76,27228.01,54,US,25,1470312.5399999998,1.6498839893859962,0.8058667096462245,1.0264324280763961,-0.7800886453380611,,,,,,
2004-09-30,BIG LoPRIOR,3.26,15890.36,61,EU,25,969311.9600000001,4.067175849594182,0.8058667096462245,1.0264324280763961,3.3461697155290513,,,,,,
2004-09-30,ME1 PRIOR2,3.35,67.75,443,EU,25,30013.25,4.067175849594182,0.8058667096462245,1.0264324280763961,3.4385486340559273,,,,,,
