Strategy ID,Initial guarantee,b,m,L_target,L_trigger,TIME_PERIOD,Value
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.4000000000000001,2017-08-31,167.75975962372434
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.425,2017-08-31,168.19767479449948
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.45,2017-08-31,168.42241866962334
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.4749999999999999,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.4999999999999998,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.5249999999999997,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.5499999999999996,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.5749999999999995,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.5999999999999994,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.6249999999999993,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.6499999999999992,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.6749999999999992,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.699999999999999,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.724999999999999,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.749999999999999,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.7749999999999988,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.7999999999999987,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.0,1.35,1.8249999999999986,2017-08-31,168.49580177920456
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.4000000000000001,2017-08-31,166.48125271368582
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.425,2017-08-31,166.75809285948182
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.45,2017-08-31,167.10360655575596
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.4749999999999999,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.4999999999999998,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.5249999999999997,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.5499999999999996,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.5749999999999995,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.5999999999999994,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.6249999999999993,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.6499999999999992,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.6749999999999992,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.699999999999999,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.724999999999999,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.749999999999999,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.7749999999999988,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.7999999999999987,2017-08-31,167.04071314616655
CPPI for TDF 2017-08-31,114.96217988940829,1.0,2.2,1.35,1.8249999999999986,2017-08-31,167.04071314616655
