Strategy ID,Initial guarantee,b,m,L_target,L_trigger,TIME_PERIOD,Value
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.3,2017-08-31,164.52192649114681
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.325,2017-08-31,164.82365532493245
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.3499999999999999,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.3749999999999998,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.3999999999999997,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4249999999999996,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4499999999999995,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4749999999999994,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4999999999999993,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.5249999999999992,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.5499999999999992,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.574999999999999,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.599999999999999,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.624999999999999,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.6499999999999988,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.6749999999999987,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.6999999999999986,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.7249999999999985,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.3,2017-08-31,165.21004013500936
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.325,2017-08-31,165.61476659116786
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.3499999999999999,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.3749999999999998,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.3999999999999997,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4249999999999996,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4499999999999995,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4749999999999994,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4999999999999993,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.5249999999999992,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.5499999999999992,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.574999999999999,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.599999999999999,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.624999999999999,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.6499999999999988,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.6749999999999987,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.6999999999999986,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.7249999999999985,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.3,2017-08-31,165.6757662018629
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.325,2017-08-31,166.12111864743218
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.3499999999999999,2017-08-31,166.32031457475415
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.3749999999999998,2017-08-31,166.32031457475415
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.3999999999999997,2017-08-31,166.32031457475415
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.4249999999999996,2017-08-31,166.32031457475415
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.4499999999999995,2017-08-31,166.32031457475415
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.4749999999999994,2017-08-31,166.32031457475415
