Strategy ID,Initial guarantee,b,m,L_target,L_trigger,TIME_PERIOD,Value
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.45,2017-08-31,168.30756705940547
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.4749999999999999,2017-08-31,168.38076597567934
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.4999999999999998,2017-08-31,168.61310668620717
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.5249999999999997,2017-08-31,169.02185274157006
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.5499999999999996,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.5749999999999995,2017-08-31,168.992071910371
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.5999999999999994,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.6249999999999993,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.6499999999999992,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.6749999999999992,2017-08-31,168.992071910371
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.699999999999999,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.724999999999999,2017-08-31,168.992071910371
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.749999999999999,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.7749999999999988,2017-08-31,168.992071910371
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.7999999999999987,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.8249999999999986,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.8499999999999985,2017-08-31,168.99207191037092
Tie in for TDF 2017-08-31,110.85638775050084,,,1.4,1.8749999999999984,2017-08-31,168.992071910371
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.45,2017-09-30,169.00861310618257
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.4749999999999999,2017-09-30,169.1231450744574
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.4999999999999998,2017-09-30,169.31917779613468
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.5249999999999997,2017-09-30,169.68287921848574
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.5499999999999996,2017-09-30,169.6828792184857
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.5749999999999995,2017-09-30,169.6828792184857
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.5999999999999994,2017-09-30,169.6828792184857
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.6249999999999993,2017-09-30,169.6828792184857
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.6499999999999992,2017-09-30,169.6828792184857
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.6749999999999992,2017-09-30,169.6828792184857
Tie in for TDF 2017-09-30,111.26583489174965,,,1.4,1.699999999999999,2017-09-30,169.6828792184857
