Strategy ID,Initial guarantee,b,m,L_target,L_trigger,TIME_PERIOD,Value
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.35,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.375,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4249999999999998,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4499999999999997,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4749999999999996,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.4999999999999996,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.5249999999999995,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.5499999999999994,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.5749999999999993,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.5999999999999992,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.6249999999999991,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.649999999999999,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.674999999999999,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.6999999999999988,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.7249999999999988,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.7499999999999987,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.0,1.25,1.7749999999999986,2017-08-31,164.85413319246976
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.35,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.375,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4249999999999998,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4499999999999997,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4749999999999996,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.4999999999999996,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.5249999999999995,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.5499999999999994,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.5749999999999993,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.5999999999999992,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.6249999999999991,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.649999999999999,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.674999999999999,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.6999999999999988,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.7249999999999988,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.7499999999999987,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.2,1.25,1.7749999999999986,2017-08-31,165.77915169573922
CPPI for TDF 2017-08-31,124.15915428056094,1.0,1.4,1.25,1.35,2017-08-31,166.32031457475415
