Strategy ID,Initial guarantee,b,m,L_target,L_trigger,TIME_PERIOD,Value
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.45,2017-08-31,168.96345367123038
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.4749999999999999,2017-08-31,169.1561458049007
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.4999999999999998,2017-08-31,169.53580987416825
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.5249999999999997,2017-08-31,169.77464119335963
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.5499999999999996,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.5749999999999995,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.5999999999999994,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.6249999999999993,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.6499999999999992,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.6749999999999992,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.699999999999999,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.724999999999999,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.749999999999999,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.7749999999999988,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.7999999999999987,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.8249999999999986,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.8499999999999985,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.0,1.4,1.8749999999999984,2017-08-31,169.85262411884747
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.45,2017-08-31,167.68468735332914
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.4749999999999999,2017-08-31,167.94872150140026
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.4999999999999998,2017-08-31,168.17380141633197
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.5249999999999997,2017-08-31,168.41125321971037
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.5499999999999996,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.5749999999999995,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.5999999999999994,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.6249999999999993,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.6499999999999992,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.6749999999999992,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.699999999999999,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.724999999999999,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.749999999999999,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.7749999999999988,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.7999999999999987,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.8249999999999986,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.8499999999999985,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.2,1.4,1.8749999999999984,2017-08-31,168.24905705386837
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.45,2017-08-31,165.8283906997426
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.4749999999999999,2017-08-31,165.8283906997426
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.4999999999999998,2017-08-31,166.14986994249162
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.5249999999999997,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.5499999999999996,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.5749999999999995,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.5999999999999994,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.6249999999999993,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.6499999999999992,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.6749999999999992,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.699999999999999,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.724999999999999,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.749999999999999,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.7749999999999988,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.7999999999999987,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.8249999999999986,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.8499999999999985,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.4000000000000004,1.4,1.8749999999999984,2017-08-31,166.08796763365422
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.45,2017-08-31,163.2251190004066
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.4749999999999999,2017-08-31,163.46932498949752
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.4999999999999998,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.5249999999999997,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.5499999999999996,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.5749999999999995,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.5999999999999994,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.6249999999999993,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.6499999999999992,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.6749999999999992,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.699999999999999,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.724999999999999,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.749999999999999,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.7749999999999988,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.7999999999999987,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.8249999999999986,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.8499999999999985,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.6000000000000005,1.4,1.8749999999999984,2017-08-31,163.4175115892308
CPPI for TDF 2017-08-31,110.85638775050084,1.0,2.8000000000000007,1.4,1.45,2017-08-31,160.33685713510263
